SeineID,Temperature_C,Salinity,DO_mgL,DO_perc,Turbidity_FNU,pH
FHP1BR1,7.556,23.18,12.44,120.6,0.32,8.24
FHP1BR2,8.44,31.14,11.69,122.1,0.29,8.22
FHP1BR3,,,,,,
FHP1BR4,,,,,,
FHP1BR5,8.99,31.19,11.37,119,0.55,8.21
FHP1BR6,8.99,31.19,11.37,119,0.55,8.21
FHP1BR7,8.83,31.59,9.33,98.5,1.26,8.2
FHP1TR1,11.304,22.59,12.17,128.1,3.23,8.24
FHP1TR2,9.923,26.42,10.67,111.9,1.35,8.11
FHP1TR3,12.452,20.85,12.08,129.1,0.34,8.5
FHP1TR4,12.512,21.55,12.56,135.7,0.43,8.49
FHP1AR1,,,,,,
FHP1AR2,10.329,29.13,9.99,107.4,5.69,8.18
FHP1AR3,,,,,,
FHP1AR4,10.387,29.17,10.31,111.1,1.25,8.24
CMI1HC1,10.182,25.04,10.17,106.3,5.03,
CMI1HC2,9.86,20.76,10.44,105.8,8.91,
CMI1HC3,10.843,21.41,10.26,106.3,6.78,
XTR1OR1,10.179,26.88,10.59,111.9,0.86,
XTR1OR2,10.179,26.88,10.59,111.9,0.86,
CMI1BR1,8.213,30.88,10.06,104.3,0.5,8.07
CMI1BR2,,,,,,
CMI1BR3,,,,,,
CMI1GR1,9.958,24.86,10.4,107,4.5,8.19
CMI1GR2,10.085,23.31,10.63,109.5,4.8,8.24
CMI1GR3,10.088,24.39,10.71,110.9,3.5,8.23
CMI1TR1,7.102,24.52,11.39,110.4,5.11,7.85
CMI1TR2,,,,,,
CMI1TR3,,,,,,
CMI1SH1,9.93,28.5,12.18,129.3,0.76,
CMI1SH2,9.93,28.5,12.18,129.3,0.76,
CMI2HC1,,14.29,,,37.11,7.85
CMI2HC2,,,,,,
CMI2HC3,,,,,,
CMI2MP1,11.595,25.22,9.6,103.4,6.09,8.19
CMI2MP2,12.096,24.36,9.88,102.1,2.6,8.26
CMI2MP3,11.981,24.24,9.81,106,1.84,8.25
CMI2BP1,9.375,30.65,10.02,106.6,0.915,8.02
CMI2BR2,9.401,30.64,10.96,116.5,0.78,8.27
CMI2BR3,9.605,30.59,10.83,116.6,1.05,8.28
CMI2BR4,10.273,30.59,10.805,117.7,3.04,8.26
FHP2AR1,11.441,29.24,10.43,115,3.15,8.24
FHP2AR2,11.319,29.43,9.81,108,0.76,8.25
CMI2TR1,7.715,19.21,11.32,107.5,4.91,8
CMI2TR2,8.621,25.11,11.13,111.7,3.68,8.05
CMI2TR3,8.05,14,11.3,105,15.15,7.98
CMI2GR1,10.1,22.01,9.72,101.6,21.67,7.8
CMI2GR2,10.5,19.5,9.97,103,27.44,7.72
CMI2GR3,10.7,21.8,9.97,103,27.44,7.72
CMI2SH1,10.952,30.07,10.22,112.1,-0.38,8.13
FHP3BP1,9.27,31.41,10.23,109,0.44,8.01
CMI2SH2,10.952,30.07,10.22,112.1,-0.38,8.13
FHP3BP2,,,,,,
FHP3BP3,9.39,31.42,10.36,110.7,0.51,8.03
FHP3TR1,12.53,25.12,10.42,114.6,-0.11,7.97
FHP3TR2,,,,,,
FHP3TR3,,,,,,
FHP3AR1,12.24,29.38,10.97,123,1.5,8.14
FHP3AR2,12.33,29.45,10.91,122.2,0.7,8.3
FHP3AR3,12.05,29.77,10.85,121.6,0.45,8.24
CMI3MP1,12.476,24.47,9.97,109,0.56,8.09
CMI3MP2,11.51,22.54,10.24,108.2,7.63,8.14
CMI3MP3,10.98,21.2,10.4,107.9,7.08,8.16
CMI3GR1,12.111,23.46,9.96,105.6,24.62,8.11
CMI3GR2,12.01,22.08,10.12,108.2,25.56,8.12
CMI3GR3,12.28,22.86,10.09,109.3,16.02,8.09
CMI3HC1,,,,,,
CMI3HC2,,,,,,
CMI3HC3,,,,,,
CMI3BP1,10.56,31.07,10.1,110.5,3.1,8.02
CMI3BP2,10.572,31.08,10.6,111.1,0.11,8.11
CMI3BP3,10.62,31.09,10.3,112.7,0.41,8.13
CMI3TR1,10.24,26.75,10.82,114.4,0.42,8.12
CMI3TR2,,,,,,
CMI3TR3,10.74,26.86,11.08,118.9,0.04,8.36
CMI3SH1,12.71,30.22,10.19,116,-0.36,8.14
CMI3SH2,12.44,30.51,9.69,109.6,0.1,8.21
CMI3SH3,12.73,30.34,10.34,117.6,-0.03,8.2
CMI4MP1,12.349,26.13,9.08,100.1,5.22,8
CMI4MP2,12.578,25.84,9.28,102.5,2.53,8.04
CMI4MP3,12.57,26.46,9.11,101.1,7.65,8.05
CMI4HC1,12.024,22.027,9.88,105.4,3.36,8
CMI4HC2,12.405,23.08,9.89,107,2.43,8.06
CMI4HC3,12.588,23.68,9.76,106.5,2.8,7.99
CMI4GR1,12.994,24.94,9.57,105.9,9.6,8.02
CMI4GR2,13.034,24.89,9.59,106.2,6.23,8.17
CMI4GR3,13.095,24.45,9.65,106.8,10.2,8.2
CMI4BP1,10.398,30.93,8.81,96,4.85,8.03
CMI4BP2,10.465,30.93,8.96,97.7,1.51,8.08
CMI4BP3,10.864,30.9,8.79,96.6,6.741,8.04
