SeineID,Site,Replicate,Date,Time,Latitude,Longitude,Tide1,Tide2,Reach_m,Depth_m,Method,Habitat,Notes
FHP1BR1,Barabara River,1,6/13/18,10:45,59.48787,-151.6507,Flood,Low,,,beach seine,Sand/Gravel,"TSS here.  Environmentals from Chugachee @ 10:05 am (Also took deep measures: T 8.75, sal 30.8, DOmg/l 12.36, %DO 117.5, turb 0.18, pH 8.11, TSS sample)."
FHP1BR2,Barabara River,2,6/13/18,11:00,59.48563,-151.65707,Flood,Low,,,beach seine,Sand/Gravel,"TSS here.  Environmentals from Chugachee (Also took deep measures: T 8.19, sal 31.10, DOmg/l 11.96, %DO 124.1, turb 0.17, pH 8.20, TSS sample)."
FHP1BR3,Barabara River,3,6/13/18,11:30,59.48164,-151.6561,Flood,Mid,,,beach seine,Sand/Gravel,
FHP1BR4,Barabara River,4,6/13/18,11:45,59.48164,-151.6561,Flood,Mid,,,beach seine,Sand/Gravel,
FHP1BR5,Barabara River,5,6/13/18,13:45,59.48476,-151.64226,Flood,High,,,beach seine,Sand/Gravel,Environmentals taken from Chugachee.
FHP1BR6,Barabara River,6,6/13/18,14:20,59.48476,-151.64226,Flood,High,,,beach seine,Sand/Gravel,TSS here.  Same environmentals as seine# 5. Environmentals taken from Chugachee.
FHP1BR7,Barabara River,7,6/13/18,14:45,59.4822,-151.65456,Flood,High,,,beach seine,Sand/Gravel,Environmentals taken from Chugachee.
FHP1TR1,Tutka River,1,6/14/18,9:45,59.41777,-151.31065,Slack,Low,5,,beach seine,Sand/Gravel,"Environmentals taken from Edgecumbe at 9:05: 3m vert zoop tow, TSS"
FHP1TR2,Tutka River,2,6/14/18,10:40,59.42102,-151.30568,Flood,Low,8,,beach seine,Sand/Gravel,"Environmentals taken from Edgecumbe at 9:45: 4m vert zoop tow, TSS"
FHP1TR3,Tutka River,3,6/14/18,14:28,59.41577,-151.29103,Flood,High,7,,beach seine,Sand/Gravel,"Seagrass.  Environmentals taken from Edgecumbe at 16:45 (N59 25.024', W151 17.818') "
FHP1TR4,Tutka River,4,6/14/18,15:35,59.41039,-151.29868,Flood,High,10,,beach seine,Sand/Gravel,"Environmentals taken from Edgecumbe at 16:00 (N59 24.658', W151 17.901') "
FHP1AR1,Anchor River,1,6/21/18,10:30,59.79406,-151.8549,Slack,High,5,,beach seine,Sand/Gravel,Environmtnals taken from Seine# 2
FHP1AR2,Anchor River,2,6/21/18,11:00,59.7883,-151.85847,Ebb,High,10,,beach seine,Sand/Gravel,Environmentals taken at 11:30
FHP1AR3,Anchor River,3,6/21/18,12:12,59.79264,-151.84727,Ebb,High,15,,beach seine,Sand/Gravel,Environmtnals taken from Seine# 2
FHP1AR4,Anchor River,4,6/21/18,14:40,59.79258,-151.85896,Ebb,Low,15,,beach seine,Sand/Gravel,Environmentals taken after fish processing
CMI1HC1,Halibut Cove,1,6/25/18,7:52,59.59332,-151.17509,Slack,Low,10,1.5,beach seine,Sand/Gravel,
CMI1HC2,Halibut Cove,2,6/25/18,8:40,59.59339,-151.17148,Flood,Low,10,1.5,beach seine,Sand/Gravel,TSS here.
CMI1HC3,Halibut Cove,3,6/25/18,9:30,59.59299,-151.17035,Flood,Low,10,1.25,beach seine,Sand/Gravel,Sculpin eating pricklebacks in the buckets.
XTR1OR1,Otter Rock,1,6/26/18,8:57,59.57492,-151.2941,Flood,Low,0,1.2,beach seine,Sand/Gravel,"Two coho, five chum for Kim."
XTR1OR2,Otter Rock,2,6/26/18,9:53,59.574855,-151.29427,Flood,Low,0,1.25,beach seine,Sand/Gravel,"Same environmentals as seine 1.  Three Coho, three dolly varden, one Chum, + five saffron cod for Kim"
CMI1BR1,Barabara River,1,6/27/18,9:02,59.48172,-151.65875,Slack,Low,15,1.5,beach seine,Sand/Gravel,TSS here. Shrimp 40-50 mm.
CMI1BR2,Barabara River,2,6/27/18,9:45,59.48129,-151.65895,Flood,Low,15,1,beach seine,Sand/Gravel,Same environmentals as seine 1.  Shrimp 56 mm.
CMI1BR3,Barabara River,3,6/27/18,10:16,59.48064,-151.65932,Flood,Low,15,1,beach seine,Sand/Gravel,Same environmentals as seine 1. 
CMI1GR1,Grewingk River,1,6/28/18,9:15,59.65361,-151.19257,Slack,Low,10,1.5,beach seine,Sand/Gravel,
CMI1GR2,Grewingk River,2,6/28/18,9:40,59.65416,-151.19243,Slack,Low,10,3,beach seine,Sand/Gravel,
CMI1GR3,Grewingk River,3,6/28/18,10:00,59.65445,-151.19214,Flood,Low,17,5,beach seine,Sand/Gravel,TSS here. Started at river channel then swung W to beach.
CMI1TR1,Tutka River,1,6/29/18,9:53,59.42101,-151.30559,Slack,Low,10,1.8,beach seine,Sand/Gravel,TSS here.
CMI1TR2,Tutka River,2,6/29/18,10:40,59.42051,-151.30544,Flood,Low,15,1.5,beach seine,Sand/Gravel,EXO1 not working - use seine 1 environmentals. Gnats. Jellies.
CMI1TR3,Tutka River,3,6/29/18,11:30,59.42145,-151.30513,Flood,Low,15,5,beach seine,Sand/Gravel,EXO1 not working - use seine 1 environmentals. 
CMI1SH1,Seldovia Harbor,1,6/30/18,10:34,59.43542,-151.71591,Slack,Low,5,1.2,beach seine,Sand/Gravel,One greenling voucher - to be ID'ed.  Used adipose to ID Co from CK
CMI1SH2,Seldovia Harbor,2,6/30/18,11:28,59.43574,-151.71312,Flood,Low,5,0.7,beach seine,Sand/Gravel,TSS here. No environmentals taken - use measurements from seine 1.
CMI2HC1,Halibut Cove,1,7/10/18,7:04,59.59337,-151.17049,Slack,Low,10,1.25,beach seine,Sand/Gravel,TSS here.  EXO1 not working- using water grab in lab at 10:24am.
CMI2HC2,Halibut Cove,2,7/10/18,7:45,59.59299,-151.16956,Flood,Low,15,1.25,beach seine,Sand/Gravel,EXO1 not working- no environmentals
CMI2HC3,Halibut Cove,3,7/10/18,8:20,59.5931,-151.17183,Flood,Low,15,2.25,beach seine,Sand/Gravel,EXO1 not working- no environmentals
CMI2MP1,Moosehead Point,1,7/11/18,7:15,59.57836,-151.32082,Ebb,Low,15,1,beach seine,Sand/Gravel,TSS here.  Seven sand lance for Kim.
CMI2MP2,Moosehead Point,2,7/11/18,8:00,59.57872,-151.31998,Slack,Low,10,1,beach seine,Sand/Gravel,
CMI2MP3,Moosehead Point,3,7/11/18,8:35,59.57916,-151.31868,Flood,Low,10,1,beach seine,Sand/Gravel,
CMI2BP1,Barabara B,1,7/12/18,8:38,59.4824,-151.63049,Slack,Low,15,0.4,beach seine,Sand/Gravel,Forgot turbidity measurement.  FHP B1.
CMI2BR2,Barabara River,2,7/12/18,9:50,59.4821,-151.65837,Flood,Low,15,1,beach seine,Sand/Gravel,TSS here.  FHP A1.
