SeineID,Temperature_C,Salinity,DO_mgL,DO_perc,Turbidity_FNU,Veg_lb
ANCN1MAY,7.47,26.6,11.06,109.5,16.9,44.34
ANCN2MAY,7.307,18.62,11.16,104.7,24.73,61.9
ANCN3MAY,7.178,17.02,11.09,102.6,48.3,16.76
ANCH1MAY,7.144,23.11,10.95,105.4,24.57,207.68
ANCL1MAY,10.01,0.35,15.78,140.5,1.34,0.3
ANCU1MAY,9.101,1.07,12.14,106,2.96,0.86
ANCL2MAY,10.01,0.35,15.78,140.5,1.34,0.62
ANCF1MAY,9.231,0.04,13.36,116.3,-0.16,4.6
ANCU2MAY,9.472,1.67,13.1,115.9,20.23,0.62
TUTU1MAY,10.725,2.36,13.84,126.5,0.29,35.2
TUTU2MAY,7.587,1,12.77,107.4,3.27,0.64
TUTF1MAY,8.248,2.44,12.5,108,0.43,1.4
TUTN1MAY,7.252,31.07,11.93,121.1,0.26,1.16
TUTN2MAY,6.862,31.39,11.48,115.8,-0.38,1.02
TUTN3MAY,7.14,29.11,11.46,114.5,-0.02,0.64
TUTL1MAY,5.066,1.28,14.41,13.8,0.11,16.9
TUTL2MAY,,,,,,15.18
TUTL3MAY,6.209,1.1,15.38,125.1,-0.34,8.6
TUTH1MAY,7.445,23.71,14.38,135.4,0.03,83.32
ANCH2MAY,8.518,29.63,10.98,113.7,6.76,3.64
ANCH3MAY,8.367,29.29,11.08,113.9,1.28,12.52
ANCH4MAY,8.489,28.81,11.04,113.7,1.56,16.54
CHPN1MAY,7.51,31.43,107.6,10.5,0.6,2.06
CHPN2MAY,7.327,31.35,10.95,111.6,-0.24,0.3
CHPN3MAY,7.383,31.27,11.1,113.2,-0.27,0.3
CHPN4MAY,7.417,31.55,11.3,115.16,0,0.56
CHPN1JUN,11.023,29.68,11.16,122.2,-0.38,2.1
CHPN2JUN,11.087,29.67,11.61,127.3,0.12,1.2
CHPN3JUN,11.681,29.14,10.95,121.2,-0.31,1.84
ANCN1JUN,11.335,29.71,11.26,124.2,0.95,22.6
ANCN2JUN,11.131,34.77,12.29,135.8,-0.15,0.72
ANCU1JUN,18.026,3.34,12.25,133.3,4.49,4.4
ANCL1JUN,14.8,0.15,13.22,130.9,4.4,2.8
ANCL2JUN,14.8,0.15,13.22,130.9,4.4,2.8
ANCU2JUN,13.522,4.47,7.4,73,26.43,2.34
ANCH1JUN,10.394,29.98,11.01,119.2,0.54,17.38
ANCH2JUN,10.57,30.05,11.15,121.2,1.06,10.08
ANCH3JUN,10.466,29.86,11.05,119.7,0.35,23.96
ANCF1JUN,11.996,0.13,12.18,113.1,-0.17,16.42
ANCU3JUN,16.712,1.56,9.21,96.3,16.96,1.94
TUTU1JUN,14.036,0.05,105,10.82,0.01,0.42
TUTU2JUN,6.491,0.03,11.39,92.6,-0.01,3.28
TUTF1JUN,10.262,0.07,11.51,102.6,-0.25,4.04
TUTN1JUN,11.775,6,12.48,119.6,1.36,81.36
TUTN2JUN,10.143,4.26,12.68,115.8,0.71,3.68
TUTN3JUN,11.644,5.86,12.17,116.2,0.76,3.74
TUTL1JUN,8.036,0.63,10.56,89.6,0.1,10.54
TUTL2JUN,8.891,0.65,13.14,113.6,0.55,7.04
TUTH1JUN,12.109,26.47,14.09,154.6,0.3,43.72
TUTH2JUN,11.916,25.59,13.04,141.8,-0.34,6.14
TUTH3JUN,11.578,24.04,12.62,135,-0.18,3.28
HBCN1JUN,10.369,25.58,11.08,116.8,5.17,8
HBCN2JUN,10.57,25.2,10.86,114.5,3.19,46.96
ANCN1JUL,15.466,28.96,9.02,107.9,10.88,163.78
ANCN2JUL,,,,,,199
ANCN3JUL,,,,,,9.94
ANCU1JUL,14.409,2.14,7,68.4,4.6,0.64
ANCL1JUL,13.571,1.14,8.83,85.4,6.23,1.08
ANCL2JUL,,,,,,0.82
ANCF1JUL,14.551,0.06,11.6,114.1,2.04,6.68
TUTN1JUL,7.87,3.82,11.64,99,2.48,15.48
TUTN2JUL,7.796,7.02,11.56,101.7,1.99,5.5
TUTN3JUL,9.533,15.3,11.24,107.4,2.29,3.16
HBCN1JUL,12.175,20.18,11.38,120.8,24.28,5.28
HBCN2JUL,12.882,21.5,10.3,111.5,6.32,4.9
HBCN3JUL,12.861,19.47,8.63,92.3,29.95,5.1
CHPN1JUL,13.54,25.29,9.67,108.7,4.93,1.76
CHPN2JUL,14.027,29.71,9.14,103.4,2,4.38
CHPN3JUL,14.21,24.72,9.45,107.3,1.96,0.3
ANCL1AUG,13.542,2.87,6.19,60.5,6.97,0.68
ANCF1AUG,15.05,0.06,12.22,121.4,0.86,3.82
ANCN1AUG,15.309,29.66,8.49,101.6,49.86,13.58
ANCN2AUG,13.981,30.55,8.87,103.9,9.69,6.22
ANCN3AUG,14.127,30.61,8.85,104,7.65,2.6
ANCL2AUG,13.77,2.94,76.3,74.9,12.38,2.4
ANCU1AUG,17.115,1.35,8.24,86.1,11.32,0.78
CHPN1AUG,12.32,25.11,10.29,113.6,0.54,0.96
CHPN2AUG,12.73,24.93,10.66,117.3,1.2,0.32
CHPN3AUG,12.836,25.04,10.36,115.2,0.49,0.32
HBCN1AUG,12.048,23.93,10.5,113,0.54,1.41
HBCN2AUG,11.639,20.03,10.85,113.7,1.96,4.54
HBCN3AUG,12.098,22.44,10.77,115.6,1.4,1.06
HBCN4AUG,11.862,20.17,10.81,113.3,3.18,1.86
HBCN5AUG,12.614,23.68,10.78,117.7,3.06,0.96
HBCN6AUG,12.54,21.55,10.6,114.1,1.86,7.22
TUTN1AUG,12.37,15.98,10.27,106.7,0.34,18.02
TUTN2AUG,12.708,16.17,106.7,10.28,0.41,9.18
TUTN3AUG,12.595,13.57,10.3,105.6,0.79,1.72
ANCN1SEP,11.285,27.94,8.73,95.1,7.51,49.32
ANCN2SEP,11.438,29.43,8.58,94.7,1.79,4.1
ANCN3SEP,11.469,29.41,8.73,96.3,3.12,1.3
CHPN1SEP,11.277,27.73,9.38,101.9,0.24,0.7
CHPN2SEP,11.276,27.31,9.56,103.73,-0.14,2.04
CHPN3SEP,11.41,27.57,9.76,106.1,0.22,2.16
HBCN1SEP,11.245,28.35,9.28,101.2,3.21,3.44
HBCN2SEP,10.563,24.95,9.12,95.9,2.88,1.98
HBCN3SEP,11.177,27.2,9.28,100.3,0.65,2.92
TUTN1SEP,8.535,3.91,11.55,102.3,7.36,1.92
TUTN2SEP,9.077,6.04,11.16,100.5,3.06,3.04
TUTN3SEP,9.726,9.07,11.33,105.6,9.86,1.52
HBCN1OCT,8.944,29.56,7.88,62,-0.52,1.18
HBCN2OCT,8.766,29.07,8,83.1,-0.57,0.42
HBCN3OCT,9.136,29.97,9.12,96.5,-0.27,0.56
HBCN4OCT,8.978,30.24,8.21,68.8,-0.49,0.3
ANCN1OCT,6.775,29.83,9.43,94,1.64,152.16
ANCN2OCT,6.937,29.72,9.74,97.4,2.32,188.06
ANCN3OCT,7.098,28.85,9.88,98.5,2.33,4.72
