SeineID,Site,Replicate,Date,Time,Latitude,Longitude,Tide1,Tide2,Reach_m,Depth_m,Method,Habitat,Notes,Width_,Location
ANCN1MAY,Anchor River,1,5/9/19,12:25,59.79289,-151.86183,Slack,Low,25,1.1,beach seine,Sand/Gravel,Shrimp.,14,Nearshore
ANCN2MAY,Anchor River,2,5/9/19,13:30,59.79176,-151.86168,Flood,Low,25,0.5,beach seine,Sand/Gravel,,25,Nearshore
ANCN3MAY,Anchor River,3,5/9/19,13:57,59.791,-151.86153,Flood,Low,20,1,beach seine,Sand/Gravel,,20,Nearshore
ANCH1MAY,Anchor River,1,5/9/19,17:25,59.79362,-151.85591,Flood,High,20,1.5,beach seine,Sand/Gravel,,17,Nearshore
ANCL1MAY,Anchor River,1,5/10/19,13:23,59.78003,-151.85822,Slack,Low,25,0.26,pole seine,Salt marsh,,3.3,Lower
ANCU1MAY,Anchor River,1,5/10/19,15:23,59.77369,-151.86456,Flood,Low,25,0.9,pole seine,Salt marsh,,4.5,Upper
ANCL2MAY,Anchor River,2,5/10/19,14:15,59.77588,-151.85835,Slack,Low,25,0.25,pole seine,Salt marsh,,2.75,Lower
ANCF1MAY,Anchor River,1,5/10/19,17:10,59.77098,-151.84303,,,31,1.22,pole seine,Riparian,Snail in water,5.5,Freshwater
ANCU2MAY,Anchor River,2,5/10/19,16:30,59.77409,-151.86377,Flood,Mid,21.5,1,pole seine,Salt marsh,Tractor,5,Upper
TUTU1MAY,Tutka River,1,5/13/19,13:36,59.41527,-151.28535,Ebb,Mid,33,0.4,pole seine,Salt marsh,Ulva,5,Upper
TUTU2MAY,Tutka River,2,5/13/19,14:10,59.41496,-151.28149,Ebb,Mid,16,0.3,pole seine,Salt marsh,"Many went through net, sub group collected. Pic on Jacobs phone of albinos",5.5,Upper
TUTF1MAY,Tutka River,1,5/13/19,15:02,59.41367,-151.27802,,,12,2,pole seine,Riparian,"Off channel hole, very little flow. Smolty Coho (saucy)",4,Freshwater
TUTN1MAY,Tutka River,1,5/13/19,16:38,59.42028,-151.30463,Slack,Low,25,0.8,beach seine,Sand/Gravel,,21,Nearshore
TUTN2MAY,Tutka River,2,5/13/19,17:12,59.42118,-151.30515,Slack,Low,25,1,beach seine,Sand/Gravel,Figure out depth with GPS point,28,Nearshore
TUTN3MAY,Tutka River,3,5/13/19,17:43,59.4216,-151.30502,Flood,Low,10,1.5,beach seine,Sand/Gravel,Depth up to neck of Chris,26,Nearshore
TUTL1MAY,Tutka River,1,5/14/19,10:04,59.40992,-151.2932,Flood,High,25,0.15,pole seine,Salt marsh,"Shallow, silt salt marsh channel, Ulva",5,Lower
TUTL2MAY,Tutka River,2,5/14/19,10:21,59.41013,-151.29317,Flood,High,30,0.6,pole seine,Salt marsh,,5,Lower
TUTL3MAY,Tutka River,3,5/14/19,10:44,59.4096,-151.2892,Flood,High,26,0.5,pole seine,Salt marsh,"Gravel, pebble substrate ",5,Lower
TUTH1MAY,Tutka River,4,5/14/19,12:34,59.41052,-151.29855,Slack,High,25,1.7,beach seine,Sand/Gravel,,23,Nearshore
ANCH2MAY,Anchor River,1,5/17/19,14:15,59.79297,-151.85626,Flood,High,20,1.5,beach seine,Sand/Gravel,,17,Nearshore
ANCH3MAY,Anchor River,2,5/17/19,15:00,59.79337,-151.85561,Slack,High,20,1.2,beach seine,Sand/Gravel,,19,Nearshore
ANCH4MAY,Anchor River,3,5/17/19,15:15,59.7937,-151.8548,Slack,High,15,1.5,beach seine,Sand/Gravel,"Sand with cobble, steep",26,Nearshore
CHPN1MAY,Moosehead Point,1,5/23/19,11:15,59.57815,-151.31956,Ebb,Low,25,0.9,beach seine,Sand/Gravel,Pebble/Cobble,16,Nearshore
CHPN2MAY,Moosehead Point,2,5/23/19,11:51,59.57853,-151.31862,Slack,Low,25,1.25,beach seine,Sand/Gravel,Sand/gravel with light benthic diatom,16,Nearshore
CHPN3MAY,Moosehead Point,3,5/23/19,12:19,59.57917,-151.31746,Slack,Low,25,1.2,beach seine,Sand/Gravel,Sand/gravel with little diatom,16,Nearshore
CHPN4MAY,Moosehead Point,4,5/23/19,12:57,59.57856,-151.31839,Flood,Low,26,1.9,beach seine,Sand/Gravel,Total reach. Sea stars. Sand/gravel/whole-some attached kelp,30,Nearshore
CHPN1JUN,Moosehead Point,1,6/6/19,11:00,59.57841,-152.32065,Flood,Low,25,1.2,beach seine,Sand/Gravel,"Sand gravel beach, lots of brown diatom growth",16,Nearshore
CHPN2JUN,Moosehead Point,2,6/6/19,12:15,59.57883,-151.31955,Slack,Low,25,1.5,beach seine,Sand/Gravel,,16,Nearshore
CHPN3JUN,Moosehead Point,3,6/6/19,12:30,59.57933,-151.3163,Flood,Low,25,2.6,beach seine,Sand/Gravel,,17,Nearshore
ANCN1JUN,Anchor River,1,6/9/19,13:28,59.79289,-151.86183,Ebb,Low,20,1.1,beach seine,Sand/Gravel,GPS same as ANCN1MAY,19,Nearshore
ANCN2JUN,Anchor River,2,6/10/19,15:10,59.79176,-151.86168,Flood,Low,25,0.85,beach seine,Sand/Gravel,GPS same as ANCN2MAY,18,Nearshore
ANCU1JUN,Anchor River,1,6/9/19,20:50,59.74,-151.86383,Ebb,High,22.5,0.65,pole seine,Salt marsh,,45.5,Upper
ANCL1JUN,Anchor River,1,6/9/19,16:47,59.77996,-151.85843,Flood,Low,30,0.3,pole seine,Salt marsh,GPS same as ANCL1JUL,3.2,Lower
ANCL2JUN,Anchor River,2,6/9/19,17:42,59.77988,-151.85837,Flood,Low,25,0.5,pole seine,Salt marsh,GPS same as ANCL2JUL. Environmentals same as L1,3.25,Lower
ANCU2JUN,Anchor River,2,6/9/19,21:18,59.77365,-151.86456,Ebb,High,28,0.75,pole seine,Salt marsh,,4,Upper
ANCH1JUN,Anchor River,1,6/10/19,8:25,59.79269,-151.85701,Slack,High,20,1.5,beach seine,Sand/Gravel,,19,Nearshore
ANCH2JUN,Anchor River,2,6/10/19,9:15,59.79251,-151.85721,Slack,High,25,2.1,beach seine,Sand/Gravel,,21,Nearshore
ANCH3JUN,Anchor River,3,6/10/19,9:54,59.7935,-151.85609,Ebb,High,20,2.5,beach seine,Sand/Gravel,,22,Nearshore
ANCF1JUN,Anchor River,1,6/10/19,11:00,59.77101,-151.84286,,,31,1.1,pole seine,Riparian,,4.8,Freshwater
ANCU3JUN,Anchor River,3,6/11/19,15:30,59.77418,-151.86319,Slack,Low,22.5,0.75,pole seine,Salt marsh,"Tractor. 2nd GPS points: 59.77512, -151.86459. 4 reaches: pole seine #1=5, pole seine #2=4.5, pole seine #3=6, pole seine #5=7",6,Upper
TUTU1JUN,Tutka River,1,6/13/19,13:26,59.41143,-151.28528,Ebb,High,25,0.25,pole seine,Salt marsh,"Pool-sand/gravel, some flow",3,Upper
TUTU2JUN,Tutka River,2,6/13/19,14:13,59.41157,-151.28313,Ebb,High,17.5,0.8,pole seine,Salt marsh,"silt/sand/gravel-overhanging veg salt marsh channel. Lots of dead salmonids (60-100mm). Multipe reaches: pole seine #1=6.8, pole seine #2=5.6, pole seine #3=5.1",6,Upper
TUTF1JUN,Tutka River,1,6/13/19,15:15,59.41358,-151.27809,Ebb,Mid,11.5,1.5,pole seine,Riparian,"Multiple reaches: pole seine #1=9, pole seine #2=2.5. Width= pole seine+pole seine. Off channel pool",6,Freshwater
TUTN1JUN,Tutka River,1,6/13/19,17:15,59.4203,-151.30356,Ebb,Low,25,0.9,beach seine,Sand/Gravel,Brown matted diatoms,16,Nearshore
TUTN2JUN,Tutka River,2,6/13/19,17:53,59.42075,-151.30453,Ebb,Low,25,0.9,beach seine,Sand/Gravel,Rockweed and shells,14,Nearshore
TUTN3JUN,Tutka River,3,6/13/19,18:12,59.42138,-151.30507,Slack,Low,25,5,beach seine,Sand/Gravel,,24,Nearshore
TUTL1JUN,Tutka River,1,6/14/19,10:39,59.40958,-151.28915,Flood,Mid,26,0.4,pole seine,Salt marsh,"Sand gravel w/ulva and rockweed. Multiple reaches: pole seine #1=13.5, pole seine #2=12.5. Sample Width= pole seine x2",6,Lower
TUTL2JUN,Tutka River,2,6/14/19,10:52,59.40944,-151.28827,Flood,Mid,29,0.2,pole seine,Salt marsh,released about 2/3 of the catch,6,Lower
TUTH1JUN,Tutka River,1,6/14/19,13:00,59.4106,-151.29837,Slack,High,25,2.3,beach seine,Sand/Gravel,Salt marsh and gravel. jellyfish and ctenophores. large brown diatom mats,13.5,Nearshore
TUTH2JUN,Tutka River,2,6/14/19,13:36,59.42115,-151.30122,Flood,High,25,1.9,beach seine,Sand/Gravel,,23,Nearshore
TUTH3JUN,Tutka River,3,6/14/19,14:01,59.42109,-151.30103,Slack,High,25,1.8,beach seine,Sand/Gravel,"Sand/gravel/beach, some rockweed",23,Nearshore
HBCN1JUN,Halibut Cove,1,6/19/19,10:05,59.59365,-151.17003,Slack,Low,25,5,beach seine,Sand/Gravel,"mud flat. released red bucket full (~500). All Capelin to Dom. 3DV, 4CO, 4 Hering, 8 Sand Lance to Dom. ",18,Nearshore
HBCN2JUN,Halibut Cove,2,6/19/19,11:33,59.59338,-151.16684,Flood,Low,25,5,beach seine,Sand/Gravel,"mud flat. 11 PK, 5 SO for Dom",18,Nearshore
ANCN1JUL,Anchor River,1,7/9/19,12:28,59.79338,-151.8578,Ebb,Low,20,0.8,beach seine,Sand/Gravel,,17,Nearshore
ANCN2JUL,Anchor River,2,7/9/19,13:16,59.79412,-151.85835,Ebb,Low,25,0.8,beach seine,Sand/Gravel,EXO1 batteries dead,18,Nearshore
