SeineID,Common,LifeStage,Count,Length_mm,PSP,Deceased,Notes
2105AP1,Dolly Varden,,1,148,,,
2105AP1,Dolly Varden,,1,127,,,
2105AP1,Dolly Varden,,1,130,,,
2105AP1,Dolly Varden,,1,122,,,
2105AP1,Staghorn Sculpin,,1,127,,,
2105AP1,Staghorn Sculpin,,1,95,,,
2105AP1,Staghorn Sculpin,,1,158,,,
2105AP1,Staghorn Sculpin,,1,130,,,
2105AP1,Starry Flounder,,1,50,,,
2105AP1,Starry Flounder,,1,160,,,
2105AP1,Great Sculpin,,1,77,,,
2105AP1,Tidepool Sculpin,,1,60,,,
2105AP1,Tidepool Sculpin,,1,60,,,
2105AP1,Tidepool Sculpin,,1,55,,,
2105AP1,Tidepool Sculpin,,1,50,,,
2105AP1,Padded Sculpin,,1,95,,,
2105AP1,Padded Sculpin,,1,100,,,
2105AP2,Sandfish,,1,145,,,
2105AP2,Dolly Varden,,1,155,,,
2105AP2,Sand Sole,,1,72,,,
2105AP2,Sand Sole,,1,70,,,
2105AP2,Pacific Sand Lance,,1,65,1,,
2105AP2,Sharpnose Sculpin,,1,45,,,
2105AP2,Great Sculpin,,1,90,,,
2105AP2,Staghorn Sculpin,,1,170,,,
2105AP2,Tidepool Sculpin,,1,73,,,
2105AP2,Sand Shrimp,,1,40,,,
2105AP2,Sand Shrimp,,1,30,,,
2105AP2,Sand Shrimp,,1,55,,,
2105AP2,Sand Shrimp,,1,70,1,,
2105AP2,Sand Shrimp,,1,70,1,,
2105AP2,Sand Shrimp,,25,,,,
2105AP2,Unidentified Sculpin,,1,,,,
2105AP3,Dolly Varden,,1,138,1,,
2105AP3,Dolly Varden,,1,122,1,,
2105AP3,Sand Sole,,1,81,,,
2105AP3,Sand Sole,,1,51,,,
2105AP3,Sand Shrimp,,1,50,,,
2105AP3,Sand Shrimp,,1,56,,,
2105AP3,Sand Shrimp,,1,96,,,
2105AP3,Sand Shrimp,,1,95,,,
2105AP3,Sand Shrimp,,1,50,,,
2105AP3,Sand Shrimp,,20,,,,
2105NR1,Unidentified Shrimp,,1,50,,,Green color. Maybe Heptacarpus sp.
2105NR1,Unidentified Shrimp,,1,45,,,
2105NR1,Staghorn Sculpin,,1,235,,,
2105NR1,Staghorn Sculpin,,1,268,,,
2105NR1,Staghorn Sculpin,,1,211,,,
2105NR1,Staghorn Sculpin,,1,123,,,
2105NR1,Pacific Tom Cod,,1,150,1,,
2105NR1,Pacific Tom Cod,,1,155,1,,
2105NR1,Pacific Tom Cod,,1,176,1,,
2105NR1,Pacific Tom Cod,,1,153,1,,
2105NR1,Pacific Tom Cod,,1,154,1,,
2105NR1,Pacific Tom Cod,,1,127,,,
2105NR1,Pacific Tom Cod,,1,125,,,
2105NR1,Pacific Tom Cod,,1,129,,,
2105NR1,Pacific Tom Cod,,1,140,,,
2105NR1,Pacific Tom Cod,,1,129,,,
2105NR1,Pacific Tom Cod,,1,111,,,
2105NR1,Pacific Tom Cod,,1,118,,,
2105NR1,Sand Sole,,1,81,,,
2105NR1,Sand Sole,,1,113,,,
2105NR1,Sand Sole,,1,51,,,
2105NR1,Sand Sole,,1,49,,,
2105NR1,Sand Sole,,1,104,,,
2105NR1,Sand Sole,,1,60,,,
2105NR1,Sand Sole,,1,111,,,
2105NR1,Sand Sole,,1,,,,
2105NR1,Sand Shrimp,,25,,,,
2105NR1,Sand Shrimp,,1,86,,,
2105NR1,Sand Shrimp,,1,80,,,
2105NR1,Sand Shrimp,,1,78,,,
2105NR1,Sand Shrimp,,1,75,,,
2105NR1,Sand Shrimp,,1,84,,,
2105NR1,Sand Shrimp,,1,77,,,
2105NR1,Sand Shrimp,,1,85,,,
2105NR1,Sand Shrimp,,1,77,,,
2105NR1,Sand Shrimp,,1,65,,,
2105NR1,Sand Shrimp,,1,50,,,
2105NR1,Starry Flounder,,1,,,,
2105NR1,Starry Flounder,,1,52,,,
2105NR1,Snailfish,,1,53,,,
2105NR1,Armorhead Sculpin,,1,,,,
2105NR2,Unidentified Flatfish,,1,,,,
2105NR2,Capelin,YOY,1,38,,,
2105NR2,Capelin,YOY,1,44,,,
2105NR2,Capelin,YOY,1,47,,,
2105NR2,Sturgeon Poacher,,1,180,,,
2105NR2,Snake Prickleback,,1,280,,,
2105NR2,Staghorn Sculpin,,1,255,,,
2105NR2,Staghorn Sculpin,,1,256,,,
2105NR2,Staghorn Sculpin,,1,270,,,
2105NR2,Staghorn Sculpin,,1,271,,,
2105NR2,Staghorn Sculpin,,1,220,,,
2105NR2,Staghorn Sculpin,,1,244,,,
2105NR2,Staghorn Sculpin,,1,243,,,
2105NR2,Staghorn Sculpin,,1,227,,,
2105NR2,Staghorn Sculpin,,1,305,,,
2105NR2,Staghorn Sculpin,,1,195,,,
2105NR2,Sand Sole,,1,118,,,
2105NR2,Sand Sole,,1,138,,,
2105NR2,Sand Sole,,1,132,,,
2105NR2,Sand Sole,,1,360,,,
2105NR2,Sand Sole,,1,57,,,
2105NR2,Sand Sole,,1,68,,,
2105NR2,Sand Sole,,1,108,,,
2105NR2,Sand Sole,,1,133,,,
2105NR2,Sand Sole,,1,37,,,
2105NR2,Sand Sole,,1,51,,,
2105NR2,Sand Sole,,1,64,,,
2105NR2,Sand Sole,,1,66,,,
2105NR2,Sand Sole,,1,62,,,
2105NR2,Sand Sole,,1,56,,,
2105NR2,Sand Sole,,1,53,,,
2105NR2,Sand Sole,,1,,,,
2105NR2,Sand Shrimp,,1,50,,,
