SeineID,Common,LifeStage,Count,Length_mm,Sacrificed,Fish Tank,Deceased,Notes
2106WS1,Starry Flounder,,1,195,,,,
2106WS1,Starry Flounder,,1,156,,,,
2106WS1,Starry Flounder,,1,201,,,,
2106WS1,Starry Flounder,,1,165,,,,
2106WS1,Starry Flounder,,1,185,,,,
2106WS1,Starry Flounder,,43,,4,,,
2106WS1,Staghorn Sculpin,,1,215,1,,,
2106WS1,Pacific Sand Lance,,1,109,1,,,
2106WS1,Sand Sole,,15,,10,,,
2106WS1,Sand Sole,,1,76,,,,
2106WS1,Sand Sole,,1,65,,,,
2106WS1,Sand Sole,,1,107,,,,
2106WS1,Sand Sole,,1,54,,,,
2106WS1,Sand Sole,,1,70,,,,
2106WS1,Sand Sole,,1,56,,,,
2106WS1,Sand Sole,,1,55,,,,
2106WS1,Sand Sole,,1,55,,,,
2106WS1,Sand Sole,,1,66,,,,
2106WS1,Sand Sole,,1,60,,,,
2106WS2,Starry Flounder,,1,369,1,,,
2106WS2,Starry Flounder,,1,231,,,,
2106WS2,Starry Flounder,,1,315,,,,
2106WS2,Starry Flounder,,1,276,,,,
2106WS2,Starry Flounder,,1,271,,,,
2106WS2,Starry Flounder,,1,288,,,,
2106WS2,Starry Flounder,,1,325,,,,
2106WS2,Starry Flounder,,1,249,,,,
2106WS2,Starry Flounder,,1,221,,,,
2106WS2,Starry Flounder,,1,191,,,,
2106WS2,Starry Flounder,,1,145,,,,
2106WS2,Starry Flounder,,19,,,,,
2106WS2,Sand Sole,,1,110,,,,
2106WS2,Sand Sole,,1,46,,,,
2106WS2,Sand Sole,,4,,,,,
2106WS2,Coho Salmon,Juvenile,1,128,1,,,
2106WS2,Coho Salmon,Juvenile,1,116,1,,,
2106WS2,Coho Salmon,Juvenile,1,112,1,,,
2106WS2,Coho Salmon,Juvenile,1,110,1,,,
2106WS2,Coho Salmon,Juvenile,1,126,1,,,
2106WS2,Staghorn Sculpin,,1,255,1,,,
2106WS2,Staghorn Sculpin,,1,237,1,,,
2106WS2,Staghorn Sculpin,,1,220,1,,,
2106WS2,Staghorn Sculpin,,1,253,1,,,
2106WS2,Staghorn Sculpin,,1,304,1,,,
2106WS2,Pacific Sand Lance,,1,103,1,,,
2106WS2,Pacific Sand Lance,,1,104,1,,,
2106WS2,Pacific Sand Lance,,1,112,1,,,
2106WS2,Pacific Sand Lance,,1,149,1,,,
2106WS3,Staghorn Sculpin,,1,241,1,,,
2106WS3,Staghorn Sculpin,,1,190,1,,,
2106WS3,Staghorn Sculpin,,1,181,1,,,
2106WS3,Starry Flounder,,1,180,,,,
2106WS3,Starry Flounder,,1,178,,,,
2106WS3,Starry Flounder,,1,206,,,,
2106WS3,Starry Flounder,,1,181,,,,
2106WS3,Starry Flounder,,1,150,,,,
2106WS3,Starry Flounder,,4,,,,,
2106WS3,Sand Sole,,1,,,,,
2106PC1,Staghorn Sculpin,,1,220,,,,
2106PC1,Staghorn Sculpin,,1,286,,,,
2106PC1,Staghorn Sculpin,,1,249,,,,
2106PC1,Staghorn Sculpin,,1,215,,,,
2106PC1,Staghorn Sculpin,,1,286,,,,
2106PC1,Great Sculpin,,1,134,,,,
2106PC1,Great Sculpin,,1,118,,,,
2106PC1,Starry Flounder,,1,116,,,,
2106PC1,Starry Flounder,,1,320,,,,
2106PC1,Starry Flounder,,1,128,,,,
2106PC1,Starry Flounder,,1,121,,,,
2106PC1,Starry Flounder,,1,137,,,,
2106PC1,Starry Flounder,,1,304,,,,
2106PC1,Starry Flounder,,1,164,,,,
2106PC1,Starry Flounder,,8,,,,,
2106PC1,Coho Salmon,Juvenile,1,93,,,,
2106PC1,Coho Salmon,Juvenile,1,107,,,,
2106PC1,Coho Salmon,Juvenile,1,110,,,,
2106PC1,Pacific Sand Lance,,1,150,,,,
2106PC1,Pacific Sand Lance,,1,108,,,,
2106PC1,Dolly Varden,,1,193,,,,
2106PC1,Sand Sole,,1,240,,,,
2106PC1,Sand Sole,,1,115,,,,
2106PC1,Rock Sole,,1,200,,,,
2106PC1,Rock Sole,,1,108,,,,
2106PC2,Starry Flounder,,1,133,,,,
2106PC2,Starry Flounder,,1,159,,,,
2106PC2,Starry Flounder,,1,121,,,,
2106PC2,Starry Flounder,,1,105,,,,
2106PC2,Starry Flounder,,1,183,,,,
2106PC2,Sand Sole,,1,57,,,,
2106PC2,Coho Salmon,Juvenile,46,,,,,
2106PC2,Coho Salmon,Juvenile,1,114,,,,
2106PC2,Coho Salmon,Juvenile,1,113,,,,
2106PC2,Coho Salmon,Juvenile,1,118,,,,
2106PC2,Coho Salmon,Juvenile,1,105,,,,
2106PC2,Coho Salmon,Juvenile,1,112,,,,
2106PC2,Coho Salmon,Juvenile,1,110,,,,
2106PC2,Coho Salmon,Juvenile,1,111,,,,
2106PC2,Coho Salmon,Juvenile,1,97,,,,
2106PC2,Coho Salmon,Juvenile,1,108,,,,
2106PC2,Coho Salmon,Juvenile,1,104,,,,
2106PC2,Staghorn Sculpin,,1,,,,,
2106PC2,Great Sculpin,,1,108,,,,
2106PC3,Starry Flounder,,1,217,,,,
2106PC3,Starry Flounder,,1,128,,,,
2106PC3,Starry Flounder,,1,72,,,,
2106PC3,Starry Flounder,,20,,,,,
2106PC3,Staghorn Sculpin,,1,252,,,,
2106PC3,Staghorn Sculpin,,1,225,,,,
2106PC3,Staghorn Sculpin,,5,,,,,
2106PC3,Coho Salmon,Juvenile,1,109,,,,
2106PC3,Coho Salmon,Juvenile,1,106,,,,
2106PC3,Coho Salmon,Juvenile,1,98,,,,
2106PC3,Coho Salmon,Juvenile,4,,,,,
2106PC3,Sand Sole,,1,64,,,,
2106PC3,Sand Sole,,2,,,,,
2106PC3,Masked Greenling,,1,77,,,,
2106JB1,Dolly Varden,Juvenile,1,128,,1,,
2106JB1,White Spotted Greenling,,1,240,,,,
2106JB1,Pacific Sand Lance,YOY,1,52,1,1,,
2106JB1,Masked Greenling,,1,152,,,,
2106HI1,Pink Salmon,Juvenile,1,61,1,1,,
2106HI1,Pink Salmon,Juvenile,1,61,1,1,,
2106HI1,Pink Salmon,Juvenile,1,58,1,1,,
2106HI1,Pink Salmon,Juvenile,1,57,1,1,,
2106HI1,Pink Salmon,Juvenile,1,59,1,1,,
2106HI1,Pink Salmon,Juvenile,1,60,1,1,,
2107BA1,Great Sculpin,,1,105,,,,
2107BA1,Great Sculpin,,1,110,,,,
2107BA1,Sharpnose Sculpin,,1,69,,,,
2107BA1,Pink Salmon,Juvenile,1,60,1,1,,
2107BA1,Pink Salmon,Juvenile,1,58,1,1,,
2107BA1,Pink Salmon,Juvenile,1,61,1,1,,
2107BA1,Pink Salmon,Juvenile,1,62,1,1,,
2107BA1,Pink Salmon,Juvenile,1,65,1,1,,
2107BA1,Pink Salmon,Juvenile,1,60,1,1,,
2107BA2,Great Sculpin,,1,97,,,,
2107BA2,Dolly Varden,,1,270,,,,
2107BA2,Dolly Varden,,1,215,,,,
2107BA2,Dolly Varden,,1,200,,1,,
2107BA2,Dolly Varden,,1,145,,1,,
2107BA2,Dolly Varden,,1,170,,1,,
2107BA3,Dolly Varden,Adult,1,350,,,,
2107BA3,Dolly Varden,,1,140,,1,,
