"SiteID","RegionCode","Region","WebsiteLocation","RawSite","Lat","Long","Comments","Habitat","RawHab","Location","FA Locale","FA SubLocale","Nickname","SiteStatus","NoPosition","BadPosition","BadPositionDescription","AveragedPos"
1,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","B01",58.5752,-134.9263166,,"Kelp",,"Lynn Canal","Benjamin Island","North Island","North Island","yes",FALSE,FALSE,,FALSE
2,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B02",58.5675,-134.91495,,"Kelp",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
3,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B03",58.56305,-134.90165,,"Kelp",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
4,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B04",58.5644333,-134.9101833,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
5,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B05",58.5611,-134.8995666,,"Bedrock",,"Lynn Canal","Benjamin Island",,"East Benjamin","yes",FALSE,FALSE,,FALSE
6,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Amalga Harbor","B10",58.5008333,-134.7994444,,"Sand-Gravel",,"Favorite Channel","Favorite Channel","Amalga Harbor",,"yes",FALSE,FALSE,,FALSE
7,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Amalga Harbor","B11",58.5052777,-134.8105555,,"Sand-Gravel",,"Favorite Channel","Favorite Channel","Amalga Harbor",,"yes",FALSE,FALSE,,FALSE
8,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Eagle Beach","B08",58.51194444,-134.8355555,,"Sand-Gravel",,"Favorite Channel","Favorite Channel","Eagle Beach",,"yes",FALSE,FALSE,,FALSE
9,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Eagle Beach","B09",58.5130555,-134.8419444,,"Sand-Gravel",,"Favorite Channel","Favorite Channel","Eagle Beach",,"yes",FALSE,FALSE,,FALSE
10,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B10",58.5547222,-134.9061111,,"Sand-Gravel",,"Lynn Canal","Benjamin Island",,"South Benjamin","yes",FALSE,FALSE,,FALSE
