SeineID,Common,LifeStage,Count,Length_mm,Deceased,Notes
230620CP1,Dolly Varden,,1,247,,
230620CP1,Dolly Varden,,1,235,,
230620CP1,Dolly Varden,,1,117,,
230620CP1,Dolly Varden,,1,145,,
230620CP1,Dolly Varden,,1,125,,
230620CP1,Dolly Varden,,1,128,,
230620CP1,Dolly Varden,,1,145,,
230620CP1,Dolly Varden,,1,128,,
230620CP1,Dolly Varden,,1,174,,
230620CP1,Dolly Varden,,1,132,,
230620CP1,Dolly Varden,,1,135,,
230620CP1,Dolly Varden,,1,98,,
230620CP1,Dolly Varden,,1,127,,
230620CP1,Dolly Varden,,1,142,,
230620CP1,Dolly Varden,,1,138,,
230620CP1,Dolly Varden,,1,118,,
230620CP1,Dolly Varden,,1,85,,
230620CP1,Dolly Varden,,1,143,,
230620CP1,Dolly Varden,,1,150,,
230620CP1,Dolly Varden,,1,142,,
230620CP1,Dolly Varden,,1,137,,
230620CP1,Dolly Varden,,1,107,,
230620CP1,Dolly Varden,,1,150,,
230620CP1,Dolly Varden,,1,146,,
230620CP1,Dolly Varden,,1,145,,
230620CP1,Dolly Varden,,1,95,,
230620CP1,Dolly Varden,,1,90,,
230620CP1,Dolly Varden,,1,124,,
230620CP1,Dolly Varden,,1,114,,
230620CP1,Dolly Varden,,1,136,,
230620CP1,Dolly Varden,,2,,,
230620CP1,Sand Shrimp,,1,75,,
230620CP1,Sand Shrimp,,1,41,,
230620CP1,Sand Shrimp,,1,40,,
230620CP1,Sand Shrimp,,1,42,,
230620CP1,Sand Shrimp,,1,41,,
230620CP1,Sand Shrimp,,1,96,,
230620CP1,Sand Shrimp,,1,32,,
230620CP1,Sand Shrimp,,1,34,,
230620CP1,Sand Shrimp,,1,35,,
230620CP1,Sand Shrimp,,1,34,,
230620CP1,Sand Shrimp,,1,36,,
230620CP1,Sand Shrimp,,1,32,,
230620CP1,Sand Shrimp,,1,37,,
230620CP1,Sand Shrimp,,1,37,,
230620CP1,Sand Shrimp,,1,38,,
230620CP1,Sand Shrimp,,1,50,,
230620CP1,Sand Shrimp,,1,56,,
230620CP1,Sand Shrimp,,1,46,,
230620CP1,Pacific Sand Lance,,1,129,,
230620CP1,Three Spine Stickleback,,1,72,,
230620CP1,Three Spine Stickleback,,1,53,,
230620CP1,Sand Sole,,1,95,,
230620CP1,Sand Sole,,1,78,,
230620CP1,Sand Sole,,1,76,,
230620CP1,Sand Sole,,1,105,,
230620CP1,Sand Sole,,1,83,,
230620CP1,Pacific Halibut,Juvenile,1,76,,
230620CP1,Pacific Halibut,Juvenile,1,76,,
230620CP1,Pacific Halibut,Juvenile,1,75,,
230620CP1,Pacific Halibut,YOY,1,31,,
230620CP1,Pacific Halibut,YOY,1,30,,
230620CP1,Rock Sole,,1,43,,
230620CP1,Rock Sole,,1,90,,
230620CP1,Rock Sole,,1,83,,
230620CP1,Rock Sole,,1,92,,
230620CP1,Rock Sole,,1,80,,
230620CP1,Rock Sole,,1,74,,
230620CP1,Rock Sole,,1,85,,
230620CP1,Rock Sole,,1,94,,
230620CP1,Rock Sole,,1,79,,
230620CP1,Rock Sole,,1,95,,
230620CP1,Rock Sole,,1,80,,
230620CP1,Rock Sole,,1,90,,
230620CP1,Rock Sole,,1,79,,
230620CP1,Rock Sole,,1,80,,
230620CP1,Rock Sole,,1,73,,
230620CP1,Rock Sole,,1,90,,
230620CP2,Dolly Varden,,1,245,,
230620CP2,Dolly Varden,,1,236,,
230620CP2,Dolly Varden,,1,214,,
230620CP2,Dolly Varden,,1,241,,
230620CP2,Dolly Varden,,1,229,,
230620CP2,Dolly Varden,,1,255,,
230620CP2,Dolly Varden,,1,212,,
230620CP2,Dolly Varden,,1,249,,
230620CP2,Dolly Varden,,1,245,,
230620CP2,Dolly Varden,,1,291,,
230620CP2,Dolly Varden,,1,225,,
230620CP2,Dolly Varden,,1,230,,
230620CP2,Dolly Varden,,1,235,,
230620CP2,Dolly Varden,,1,135,,
230620CP2,Dolly Varden,,1,240,,
230620CP2,Dolly Varden,,1,120,,
230620CP2,Dolly Varden,,1,151,,
230620CP2,Sand Shrimp,,1,48,,
230620CP2,Sand Shrimp,,1,40,,
230620CP2,Sand Shrimp,,1,37,,
230620CP2,Sand Shrimp,,1,47,,
230620CP2,Sand Shrimp,,1,47,,
230620CP2,Sand Shrimp,,1,41,,
230620CP2,Sand Shrimp,,1,10,,
230620CP2,Sand Sole,,1,115,,
230620CP2,Pacific Halibut,Juvenile,1,82,,
230620CP2,Pacific Halibut,Juvenile,1,70,,
230620CP2,Pacific Halibut,Juvenile,1,81,,
230620CP2,Pacific Halibut,Juvenile,1,75,,
230620CP2,Pacific Halibut,Juvenile,1,78,,
230620CP2,Pacific Halibut,Juvenile,1,78,,
230620CP2,Pacific Halibut,Juvenile,1,80,,
230620CP2,Pacific Halibut,Juvenile,1,83,,
230620CP2,Pacific Halibut,Juvenile,1,76,,
230620CP2,Pacific Halibut,Juvenile,1,82,,
230620CP2,Pacific Halibut,Juvenile,1,85,,
230620CP2,Pacific Halibut,Juvenile,1,76,,
230620CP2,Pacific Halibut,Juvenile,1,96,,
230620CP2,Pacific Halibut,Juvenile,1,46,,
230620CP2,Pacific Halibut,Juvenile,1,37,,
230620CP2,Pacific Halibut,YOY,1,46,,
230620CP2,Pacific Halibut,YOY,1,34,,
230620CP2,Rock Sole,,1,82,,
230620CP2,Rock Sole,,1,80,,
230620CP2,Rock Sole,,1,76,,
230620CP2,Rock Sole,,1,182,,
230620CP2,Rock Sole,,1,190,,
230620CP2,Rock Sole,,1,87,,
230620CP2,Rock Sole,,1,181,,
230620CP2,Rock Sole,,1,91,,
230620CP2,Rock Sole,,1,89,,
230620CP2,Rock Sole,,1,85,,
230620CP2,Rock Sole,,1,83,,
230620CP2,Rock Sole,,1,75,,
230620CP2,Rock Sole,,1,85,,
230620CP2,Rock Sole,,1,87,,
230620CP2,Rock Sole,,1,81,,
230620CP2,Rock Sole,,1,86,,
230620CP2,Rock Sole,,1,89,,
230620CP2,Rock Sole,,1,91,,
230620CP2,Rock Sole,,1,90,,
230620CP2,Rock Sole,,1,96,,
230620CP2,Rock Sole,,1,114,,
230620CP2,Rock Sole,,1,85,,
230620CP2,Rock Sole,,1,79,,
230620CP2,Rock Sole,,1,91,,
230620CP2,Rock Sole,,1,,,
230620CP2,Coho Salmon,Juvenile,1,109,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,15,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,22,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,23,,
230620CP2,Unidentified Flatfish,YOY,1,21,,
230620CP2,Unidentified Flatfish,YOY,1,18,,
230620CP2,Unidentified Flatfish,YOY,1,21,,
230620CP2,Unidentified Flatfish,YOY,1,17,,
230620CP2,Unidentified Flatfish,YOY,1,21,,
230620CP2,Unidentified Flatfish,YOY,1,16,,
230620CP2,Unidentified Flatfish,YOY,1,18,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,16,,
230620CP2,Unidentified Flatfish,YOY,1,25,,
230620CP2,Unidentified Flatfish,YOY,1,25,,
230620CP2,Unidentified Flatfish,YOY,1,17,,
230620CP2,Unidentified Flatfish,YOY,1,22,,
230620CP2,Unidentified Flatfish,YOY,1,21,,
230620CP2,Unidentified Flatfish,YOY,1,21,,
230620CP2,Unidentified Flatfish,YOY,1,20,,
230620CP2,Unidentified Flatfish,YOY,1,19,,
230620CP2,Unidentified Flatfish,YOY,1,17,,
230620CP2,Unidentified Flatfish,YOY,1,15,,
230620CP2,Unidentified Flatfish,YOY,1,18,,
230620CP2,Unidentified Flatfish,YOY,1,17,,
230620CP2,Unidentified Flatfish,YOY,1,17,,
