Join_Count,TARGET_FID,JOIN_FID,SiteID,Lat,Lon,PHY_IDENT,LENGTH_M,VIDEOTAPE,DATE_TIME,FIRSTVIDEO,HabClass,HAB_CLASS_,INSIDE_X,INSIDE_Y
1,1,95420,1,58.57343334,-134.9252417,10/04/0413/0,87,SE04_07,6/4/04,SE04_0604175805,41,Semi-Protected/Partially Mobile/Sediment or Rock & Sediment,-15019863.44,8089282.552
1,2,95419,1,58.5752,-134.9263166,10/04/0412/0,196,SE04_07,6/4/04,SE04_0604175801,42,Semi-Protected/Mobile/Sediment,-15020074.42,8089183.589
1,3,77114,10,58.5547222,-134.9022222,10/04/0460/0,180,SE04_07,6/4/04,SE04_0604180348,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15017332.6,8084902.947
1,4,114157,101,58.25515,-134.9082,10/09/0352/0,453.7440472,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-15018088.66,8020450.623
1,5,128288,103,57.37638889,-134.1836111,10/09/8431/0,898.9027337,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14937195.99,7836401.056
1,6,122702,104,57.38722222,-134.1761111,10/09/8434/0,5714.087144,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14937250.19,7839543.11
1,7,129266,105,57.36722222,-134.1377778,10/09/8456/0,247.4997007,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14932094.15,7835697.01
1,8,122069,106,57.33777778,-134.1222222,10/09/8479/0,396.2504089,,,,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14930246.52,7829680.87
1,9,72085,107,55.36583333,-133.5855556,12/07/3293/0,211.503,SE06_CH_12,7/12/06,SE06_CH_0712144910,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14870699.66,7433311.674
1,10,61524,108,55.35898148,-133.5876852,12/07/3295/0,753.924,SE06_CH_12,7/12/06,SE06_CH_0712144926,51,Protected/Partially Mobile/Sediment or Rock & Sediment,-14870860.87,7431926.293
