EventID,SpeciesName,LifeStage,Unmeasured,Length,LengthType,Comments
1,Dolly Varden,,0,148,FL,
1,Dolly Varden,,0,127,FL,
1,Dolly Varden,,0,130,FL,
1,Dolly Varden,,0,122,FL,
1,Staghorn Sculpin,,0,127,FL,
1,Staghorn Sculpin,,0,95,FL,
1,Staghorn Sculpin,,0,158,FL,
1,Staghorn Sculpin,,0,130,FL,
1,Starry Flounder,,0,50,TL,
1,Starry Flounder,,0,160,TL,
1,Great Sculpin,,0,77,TL,
1,Tidepool Sculpin,,0,60,TL,
1,Tidepool Sculpin,,0,60,TL,
1,Tidepool Sculpin,,0,55,TL,
1,Tidepool Sculpin,,0,50,TL,
1,Padded Sculpin,,0,95,TL,
1,Padded Sculpin,,0,100,TL,
2,Sandfish,,0,145,FL,
2,Dolly Varden,Juvenile,0,155,FL,
2,Sand Sole,,0,72,TL,
2,Sand Sole,,0,70,TL,
2,Pacific Sand Lance,,0,65,TL,
2,Sharpnose Sculpin,,0,45,TL,
2,Great Sculpin,,0,90,TL,
2,Staghorn Sculpin,,0,170,FL,
2,Tidepool Sculpin,,0,73,TL,
2,Sand Shrimp,,0,40,Rostrom-Tail,
2,Sand Shrimp,,0,30,Rostrom-Tail,
2,Sand Shrimp,,0,55,Rostrom-Tail,
2,Sand Shrimp,,0,70,Rostrom-Tail,
2,Sand Shrimp,,0,70,Rostrom-Tail,
2,Sand Shrimp,,25,,Rostrom-Tail,
2,Unidentified Sculpin,YOY,0,,TL,
3,Dolly Varden,Juvenile,0,138,FL,
3,Dolly Varden,Juvenile,0,122,FL,
3,Sand Sole,,0,81,TL,
3,Sand Sole,,0,51,TL,
3,Sand Shrimp,,0,50,Rostrom-Tail,
3,Sand Shrimp,,0,56,Rostrom-Tail,
3,Sand Shrimp,,0,96,Rostrom-Tail,
3,Sand Shrimp,,0,95,Rostrom-Tail,
3,Sand Shrimp,,0,50,Rostrom-Tail,
3,Sand Shrimp,,20,,Rostrom-Tail,
4,Unidentified Shrimp,,0,50,,
4,Unidentified Shrimp,,0,45,,
4,Staghorn Sculpin,,0,235,FL,
4,Staghorn Sculpin,,0,268,FL,
4,Staghorn Sculpin,,0,211,FL,
4,Staghorn Sculpin,,0,123,FL,
4,Pacific Tom Cod,,0,150,FL,
4,Pacific Tom Cod,,0,155,FL,
4,Pacific Tom Cod,,0,176,FL,
4,Pacific Tom Cod,,0,153,FL,
4,Pacific Tom Cod,,0,154,FL,
4,Pacific Tom Cod,,0,127,FL,
4,Pacific Tom Cod,,0,125,FL,
4,Pacific Tom Cod,,0,129,FL,
4,Pacific Tom Cod,,0,140,FL,
4,Pacific Tom Cod,,0,129,FL,
4,Pacific Tom Cod,,0,111,FL,
4,Pacific Tom Cod,,0,118,FL,
4,Sand Sole,,0,81,TL,
4,Sand Sole,,0,113,TL,
4,Sand Sole,,0,51,TL,
4,Sand Sole,,0,49,TL,
4,Sand Sole,,0,104,TL,
4,Sand Sole,,0,60,TL,
4,Sand Sole,,0,111,TL,
4,Sand Sole,,0,,TL,
4,Sand Shrimp,,25,,Rostrom-Tail,
4,Sand Shrimp,,0,86,Rostrom-Tail,
4,Sand Shrimp,,0,80,Rostrom-Tail,
4,Sand Shrimp,,0,78,Rostrom-Tail,
4,Sand Shrimp,,0,75,Rostrom-Tail,
4,Sand Shrimp,,0,84,Rostrom-Tail,
4,Sand Shrimp,,0,77,Rostrom-Tail,
4,Sand Shrimp,,0,85,Rostrom-Tail,
4,Sand Shrimp,,0,77,Rostrom-Tail,
4,Sand Shrimp,,0,65,Rostrom-Tail,
4,Sand Shrimp,,0,50,Rostrom-Tail,
4,Starry Flounder,,0,,TL,
4,Starry Flounder,,0,52,TL,
4,Snailfish,,0,53,TL,
4,Armorhead Sculpin,,0,,TL,
5,Unidentified Flatfish,YOY,0,,TL,
5,Capelin,YOY,0,38,FL,
5,Capelin,YOY,0,44,FL,
5,Capelin,YOY,0,47,FL,
5,Sturgeon Poacher,,0,180,TL,
5,Snake Prickleback,,0,280,TL,
5,Staghorn Sculpin,,0,255,FL,
5,Staghorn Sculpin,,0,256,FL,
5,Staghorn Sculpin,,0,270,FL,
5,Staghorn Sculpin,,0,271,FL,
5,Staghorn Sculpin,,0,220,FL,
5,Staghorn Sculpin,,0,244,FL,
