SiteID,EventID,Raw Event,Date,Gear,SetTime,Temp,Salinity,Tide,Crew,Comments
1,1,2105AP1,05/25/2021,BSEINE_A,08:25:00,7.919,32.9,Ebb,,Cobble + sand
1,2,2105AP2,05/25/2021,BSEINE_A,09:11:00,7.925,33.12,Slack,,Sand
1,3,2105AP3,05/25/2021,BSEINE_A,09:45:00,8.023,33.11,Slack,,Sand + big rocks. Lots of amphipods
2,4,2105NR1,05/28/2021,BSEINE_A,10:00:00,8.928,32.65,Ebb,,Sand/silt/mud
2,5,2105NR2,05/28/2021,BSEINE_A,11:06:00,9.05,32.1,Slack,,Sand bar
2,6,2105NR3,05/28/2021,BSEINE_A,12:30:00,9.258,31.9,Slack,,
2,7,2106NR1,06/09/2021,BSEINE_A,08:40:00,10.18,31.9,Ebb,,Detached kelp
2,8,2106NR2,06/09/2021,BSEINE_A,09:30:00,10.492,30.72,Ebb,,Detached kelp
2,9,2106NR3,06/09/2021,BSEINE_A,11:05:00,11.44,31.85,Flood,,Heavy wrack. Likely lost some fish under the net
1,10,2106AP1,06/10/2021,BSEINE_A,08:45:00,9.345,32.68,Ebb,,Sand and large cobble
1,11,2106AP2,06/10/2021,BSEINE_A,09:35:00,9.634,32.67,Ebb,,Low gradient sand
1,12,2106AP3,06/10/2021,BSEINE_A,10:15:00,9.782,32.61,Slack,,Shallow gradient
3,13,2106PB1,06/11/2021,BSEINE_A,08:45:00,9.179,33.61,Ebb,,
3,14,2106PB2,06/11/2021,BSEINE_A,09:35:00,9.314,33.63,Ebb,,Sandy with varied large rocks
3,15,2106PB3,06/11/2021,BSEINE_A,10:15:00,10.236,33.39,Ebb,,Multiple big shrimp
3,16,2107PB1,07/13/2021,BSEINE_A,10:45:00,11.091,32.64,Ebb,,Amphipods
3,17,2107PB2,07/13/2021,BSEINE_A,11:32:00,11.202,32.75,Ebb,,
3,18,2107PB3,07/13/2021,BSEINE_A,12:28:00,11.485,32.79,Slack,,
2,19,2107NR1,07/14/2021,BSEINE_A,11:15:00,12.613,30.77,Ebb,,Just N of large boulder
2,20,2107NR2,07/14/2021,BSEINE_A,12:25:00,12.981,31.42,Ebb,,
2,21,2107NR3,07/14/2021,BSEINE_A,13:14:00,13.809,32.04,Slack,,
1,22,2107AP1,07/15/2021,BSEINE_A,11:30:00,12.526,32.56,Ebb,,
1,23,2107AP2,07/15/2021,BSEINE_A,12:13:00,12.026,31.85,Ebb,,
1,24,2107AP3,07/15/2021,BSEINE_A,12:55:00,12.449,31.89,Slack,,
3,25,2108PB1,08/09/2021,BSEINE_A,09:20:00,12.055,32.95,Ebb,,
3,26,2108PB2,08/09/2021,BSEINE_A,10:02:00,12.253,32.95,Ebb,,
3,27,2108PB3,08/09/2021,BSEINE_A,11:12:00,12.492,33.04,Flood,,
2,28,2108NR1,08/11/2021,BSEINE_A,10:30:00,12.573,31.46,Ebb,,
2,29,2108NR2,08/11/2021,BSEINE_A,11:45:00,12.732,31.18,Slack,,
2,30,2108NR3,08/11/2021,BSEINE_A,13:05:00,13.094,29.08,Flood,,Kept some shrimp for PSP analysis
1,31,2108AP1,08/12/2021,BSEINE_A,10:20:00,12.856,32.35,Ebb,,
1,32,2108AP2,08/12/2021,BSEINE_A,10:50:00,13.006,32.16,Slack,,
1,33,2108AP3,08/12/2021,BSEINE_A,11:45:00,13.345,31.92,Slack,,
1,34,2108AP4,08/12/2021,BSEINE_A,12:15:00,13.452,31.76,Slack,,Waves
3,35,2109PB1,09/07/2021,BSEINE_A,09:10:00,11.019,32.52,Ebb,,Lots of amphipods and minimal kelp
3,36,2109PB2,09/07/2021,BSEINE_A,10:40:00,11.249,32.54,Slack,,
3,37,2109PB3,09/07/2021,BSEINE_A,11:40:00,12.812,31.77,Flood,,
2,38,2109NR1,09/08/2021,BSEINE_A,10:05:00,11.444,31.32,Ebb,,
2,39,2109NR2,09/08/2021,BSEINE_A,11:20:00,11.67,31.13,Slack,,
2,40,2109NR3,09/08/2021,BSEINE_A,12:15:00,11.848,31.55,Flood,,
1,41,2109AP1,09/09/2021,BSEINE_A,09:45:00,11.271,31.1,Ebb,,Wavy
1,42,2109AP2,09/09/2021,BSEINE_A,10:30:00,11.282,30.92,Slack,,
1,43,2109AP3,09/09/2021,BSEINE_A,11:00:00,11.381,30.8,Flood,,
4,44,2106WS1,06/12/2021,BSEINE_B,12:50:00,10.1,,Flood,,Next to creek outflow
4,45,2106WS2,06/12/2021,BSEINE_B,01:33:00,10.2,,Flood,,
4,46,2106WS3,06/12/2021,BSEINE_B,02:00:00,10,,Flood,,"Close to North side with large cobble and boulder, rocky intertidal"
5,47,2106PC1,06/13/2021,BSEINE_B,12:50:00,10.1,,Flood,,"Next to creek outflow, just South of Northern side of beach"
5,48,2106PC2,06/13/2021,BSEINE_B,01:30:00,10.2,,Flood,,
5,49,2106PC3,06/13/2021,BSEINE_B,02:10:00,10.2,,Flood,,Some boulders
6,50,2106JB1,06/30/2021,BSEINE_B,11:55:00,9.7,31.1,Ebb,,
7,51,2106HI1,06/30/2021,BSEINE_B,12:10:00,9.2,31.3,Ebb,,Shell litter
8,52,2107BA1,07/01/2021,BSEINE_B,10:00:00,9.2,25.07,Ebb,,
8,53,2107BA2,07/01/2021,BSEINE_B,10:17:00,9.4,24.91,Ebb,,
8,54,2107BA3,07/01/2021,BSEINE_B,10:32:00,9.3,25.41,Ebb,,
9,55,2107BB1,07/01/2021,BSEINE_B,11:10:00,9.2,25.72,Ebb,,
9,56,2107BB2,07/01/2021,BSEINE_B,11:22:00,9.2,25.68,Ebb,,
9,57,2107BB3,07/01/2021,BSEINE_B,11:45:00,9.3,25.66,Ebb,,
10,58,2107OB1,07/25/2021,Hand Collection,10:30:00,,,Slack,,"Shovel and bucket, no WQ measurements taken"
10,59,2108OB1,08/21/2021,Hand Collection,08:30:00,,,Slack,,"Shovel and bucket, no WQ measurements taken"
