Common,Site,Date,Total.Count,Avg.Length
Chinook Salmon,Anchor Point,6/17/22,2,103
Chinook Salmon,Ninilchik,7/14/21,15,109
Chum Salmon,Anchor Point,5/19/22,1,42
Coho Salmon,Anchor Point,6/17/22,22,113
Coho Salmon,Ninilchik,7/14/21,2,96
Coho Salmon,Ninilchik,8/11/21,1,96
Dolly Varden,Anchor Point,5/25/21,7,135
Dolly Varden,Anchor Point,6/10/21,1,148
Dolly Varden,Anchor Point,6/17/22,1,132
Dolly Varden,Ninilchik,6/9/21,2,124
Dolly Varden,Ninilchik,7/14/21,2,230
Dolly Varden,Ninilchik,8/11/21,2,207
Dolly Varden,Ninilchik,9/8/21,3,185
Dolly Varden,Plumb Bluff,6/11/21,5,209
Dolly Varden,Plumb Bluff,7/13/21,4,247
Dolly Varden,Plumb Bluff,8/9/21,2,262
Dolly Varden,Plumb Bluff,9/7/21,1,170
Dolly Varden,Plumb Bluff,5/18/22,1,165
Dolly Varden,Plumb Bluff,6/15/22,1,148
Pink Salmon,Anchor Point,7/15/21,1,170
Pink Salmon,Anchor Point,5/19/22,29,36
Pink Salmon,Anchor Point,6/17/22,1,47
Pink Salmon,Plumb Bluff,7/13/21,1,451
Pink Salmon,Plumb Bluff,5/18/22,3,34
Sockeye Salmon,Ninilchik,8/11/21,1,48
