Species,Number
Alaska Plaice,2
Armorhead Sculpin,18
Buffalo Sculpin,15
Butter Sole,77
Capelin,68
Chinook Salmon,10
Chum Salmon,1
Coho Salmon,25
Crescent Gunnel,27
Dolly Varden,87
Dungeness Crab,22
English Sole,232
Graceful Decorator Crab,16
Graceful Kelp Crab,3
Great Sculpin,182
Helmut Crab,3
Heptacarpus Shrimp,7
Hermit Crab,6
Kelp Greenling,23
Lingcod,7
Longfin Smelt,1
Masked Greenling,136
Pacific Cod,16
Pacific Halibut,791
Pacific Herring,48
Pacific Sand Lance,1521
Pacific Tom Cod,24
Padded Sculpin,54
Pink Salmon,106
Red Irish Lord,1
Rock Greenling,19
Rock Sole,136
Saffron Cod,5
Sand Shrimp,1168
Sand Sole,158
Sandfish,98
Scalyhead Sculpin,21
Sharpnose Sculpin,1
Silver Spotted Sculpin,62
Slender Eelblenny,12
Snailfish,18
Snake Prickleback,85
Sockeye Salmon,74
Spotted Snailfish,5
Staghorn Sculpin,96
Starry Flounder,21
Sturgeon Poacher,275
Surf Smelt,22
Three Spine Stickleback,7
Tidepool Sculpin,9
Tubenose Poacher,69
Unidentified Flatfish,602
Unidentified Sculpin,1617
Unidentified Smelt,9
Walleye Pollock,1
White Spotted Greenling,133
Yellowfin Sole,6
