EventID,SpeciesName,LifeStage,Unmeasured,Length,LengthType,Comments
1,Sand Shrimp,,0,48,RTL,
1,Sand Shrimp,,0,35,RTL,
1,Sand Shrimp,,0,64,RTL,
1,Sand Shrimp,,0,39,RTL,
1,Sand Shrimp,,0,36,RTL,
1,Sand Shrimp,,0,45,RTL,
1,Sand Shrimp,,0,50,RTL,
1,Alaska Plaice,Juvenile,0,43,TL,
1,Staghorn Sculpin,,0,62,FL,
1,Staghorn Sculpin,,0,72,FL,
1,Rock Sole,,0,37,TL,
1,Unidentified Flatfish,Juvenile,0,39,TL,
1,Unidentified Flatfish,Juvenile,0,31,TL,
1,Snake Prickleback,,0,90,TL,
1,Pacific Halibut,YOY,0,34,TL,
1,Sharpnose Sculpin,,0,44,TL,
2,No fish,,0,,,
3,Sand Shrimp,,0,64,RTL,
3,Sand Shrimp,,0,35,RTL,
3,Sand Shrimp,,0,37,RTL,
3,Sand Shrimp,,0,28,RTL,
3,Sand Shrimp,,0,82,RTL,
3,Sand Shrimp,,0,11,RTL,
3,Sand Shrimp,,0,51,RTL,
3,Sand Shrimp,,0,50,RTL,
3,Sand Shrimp,,0,40,RTL,
3,Sand Shrimp,,0,45,RTL,
3,Sand Shrimp,,0,54,RTL,
3,Sand Shrimp,,0,26,RTL,
3,Sand Shrimp,,0,23,RTL,
3,Sand Shrimp,,0,37,RTL,
3,Rock Sole,,0,88,TL,
3,Three Spine Stickleback,,0,65,TL,
3,Silver Spotted Sculpin,,0,120,TL,
3,Kelp Greenling,,0,50,FL,
3,Kelp Greenling,,0,52,FL,
3,Kelp Greenling,,0,48,FL,
3,Kelp Greenling,,0,50,FL,
3,Kelp Greenling,,0,50,FL,
3,Kelp Greenling,,0,45,FL,
3,Kelp Greenling,,0,51,FL,
3,Kelp Greenling,,0,46,FL,
3,Kelp Greenling,,0,43,FL,
3,Kelp Greenling,,0,45,FL,
3,Kelp Greenling,,0,42,FL,
3,Kelp Greenling,,0,54,FL,
3,Kelp Greenling,,0,52,FL,
3,Kelp Greenling,,0,46,FL,
3,Kelp Greenling,,0,50,FL,
3,Kelp Greenling,,0,52,FL,
3,Kelp Greenling,,0,56,FL,
3,Kelp Greenling,,0,52,FL,
3,Kelp Greenling,,0,42,FL,
3,Kelp Greenling,,0,52,FL,
3,Kelp Greenling,,0,44,FL,
3,Unidentified Flatfish,Juvenile,0,30,TL,
3,Unidentified Flatfish,Juvenile,0,28,TL,
3,Pacific Sand Lance,,0,73,TL,
3,Pacific Sand Lance,,0,75,TL,
3,Unidentified Smelt,YOY,0,31,TL,Smelt
3,Unidentified Smelt,YOY,0,30,TL,Smelt
4,Sand Shrimp,,0,59,RTL,
4,Sand Shrimp,,0,56,RTL,
4,Sand Shrimp,,0,79,RTL,
4,Sand Shrimp,,0,40,RTL,
4,Sand Shrimp,,0,38,RTL,
4,Sand Shrimp,,0,29,RTL,
4,Sand Shrimp,,0,22,RTL,
4,Sand Shrimp,,0,31,RTL,
4,Sand Shrimp,,0,38,RTL,
4,Sand Shrimp,,0,35,RTL,
4,Sand Shrimp,,0,40,RTL,
4,Sand Shrimp,,0,74,RTL,
4,Sand Shrimp,,0,35,RTL,
4,Sand Shrimp,,0,36,RTL,
4,Sand Shrimp,,0,25,RTL,
4,Sand Shrimp,,0,25,RTL,
4,Sand Shrimp,,0,33,RTL,
4,Sand Shrimp,,0,40,RTL,
4,Sand Shrimp,,0,41,RTL,
4,Sand Shrimp,,0,50,RTL,
4,Snake Prickleback,,0,112,TL,
4,Pacific Sand Lance,,0,78,TL,
4,Unidentified Flatfish,YOY,0,30,TL,
4,Unidentified Flatfish,YOY,0,8,TL,
4,Unidentified Flatfish,YOY,0,15,TL,
4,Unidentified Flatfish,Juvenile,0,35,TL,
4,Unidentified Sculpin,YOY,0,10,TL,
4,Unidentified Sculpin,YOY,0,12,TL,
4,Unidentified Sculpin,YOY,0,12,TL,
4,Unidentified Sculpin,YOY,0,11,TL,
4,Unidentified Sculpin,YOY,0,12,TL,
4,Unidentified Sculpin,YOY,0,20,TL,
4,Slender Eelblenny,YOY,0,31,TL,
4,Slender Eelblenny,YOY,0,40,TL,
4,Slender Eelblenny,YOY,0,40,TL,
4,Slender Eelblenny,YOY,0,40,TL,
4,Slender Eelblenny,YOY,0,34,TL,
4,Slender Eelblenny,YOY,0,36,TL,
4,Slender Eelblenny,YOY,0,34,TL,
4,Slender Eelblenny,YOY,0,35,TL,
4,Slender Eelblenny,YOY,0,37,TL,
4,Slender Eelblenny,YOY,0,31,TL,
4,Slender Eelblenny,YOY,0,33,TL,
4,Slender Eelblenny,YOY,0,34,TL,
4,Snailfish,Juvenile,0,15,TL,
4,Snailfish,Juvenile,0,13,TL,
4,Unidentified Smelt,YOY,0,31,TL,
4,Unidentified Smelt,YOY,0,35,TL,
4,Unidentified Smelt,YOY,0,30,TL,
4,Unidentified Smelt,YOY,0,29,TL,
4,Unidentified Smelt,YOY,0,36,TL,
