SiteID,EventID,Raw Event,Date,Gear,SetTime,Temp,Salinity,Tide,Crew,Comments
1,1,220517CP1,05/17/2022,BSEINE,08:13:00,7.3,25.05,Ebb,,
1,2,220517CP2,05/17/2022,BSEINE,08:41:00,7.6,25.13,Ebb,,
1,3,220517CP3,05/17/2022,BSEINE,09:24:00,7.5,25.2,Slack,,
1,4,220517CP4,05/17/2022,BSEINE,10:15:00,6.9,25.3,Slack,,
2,5,220518PB1,05/18/2022,BSEINE,10:20:00,8.1,24.84,Ebb,,
2,6,220518PB2,05/18/2022,BSEINE,11:05:00,8.9,25.1,Slack,,
2,7,220518PB3,05/18/2022,BSEINE,11:52:00,9.7,25.05,Slack,,
3,8,220519AP1,05/19/2022,BSEINE,10:30:00,9.1,24.05,Ebb,,
3,9,220519AP2,05/19/2022,BSEINE,11:05:00,9,23.69,Ebb,,
3,10,220519AP3,05/19/2022,BSEINE,11:40:00,9.6,23.95,Slack,,
3,11,220519AP4,05/19/2022,BSEINE,12:15:00,10.1,23.66,Slack,,
1,12,220607CP1,06/07/2022,BSEINE,08:30:00,11.3,24.52,Slack,,
1,13,220607CP2,06/07/2022,BSEINE,09:00:00,11.1,24.39,Slack,,
1,14,220607CP3,06/07/2022,BSEINE,09:40:00,11.1,24.42,Ebb,,
2,15,220615PB1,06/15/2022,BSEINE,10:45:00,11.6,25.2,Ebb,,
2,16,220615PB2,06/15/2022,BSEINE,11:35:00,12.2,25.22,Flood,,
4,17,220616MP1,06/16/2022,BSEINE,09:30:00,11.8,23.07,Ebb,,
4,18,220616MP2,06/16/2022,BSEINE,10:20:00,13,22.83,Slack,,
4,19,220616MP3,06/16/2022,BSEINE,11:15:00,13.4,22.76,Flood,,
3,20,220617AP1,06/17/2022,BSEINE,10:15:00,12.9,23.9,Ebb,,
3,21,220617AP2,06/17/2022,BSEINE,10:45:00,13.5,29.6,Ebb,,
3,22,220617AP3,06/17/2022,BSEINE,11:20:00,13.7,23.89,Ebb,,
3,23,220617AP4,06/17/2022,BSEINE,11:45:00,13.3,23.85,Slack,,
1,24,220628CP1,06/28/2022,BSEINE,08:45:00,12.1,27.3,Ebb,,
1,25,220628CP2,06/28/2022,BSEINE,09:40:00,12.4,27.54,Slack,,
1,26,220628CP3,06/28/2022,BSEINE,10:25:00,12.6,27.36,Flood,,
1,27,220714CP1,07/14/2022,BSEINE,08:52:00,10.4,28.45,Slack,,
1,28,220714CP2,07/14/2022,BSEINE,10:15:00,10.4,29.43,Slack,,
1,29,220714CP3,07/14/2022,BSEINE,10:33:00,9.7,29.34,Slack,,
2,30,220715PB1,07/15/2022,BSEINE,10:20:00,12.1,29.88,Ebb,,
2,31,220715PB2,07/15/2022,BSEINE,11:25:00,12,30.021,Slack,,
3,32,220802AP1,08/02/2022,BSEINE,11:38:00,12.9,29.17,Ebb,,
3,33,220802AP2,08/02/2022,BSEINE,12:15:00,13,29.25,Slack,,
3,34,220802AP3,08/02/2022,BSEINE,12:50:00,13.1,29.34,Slack,,
5,35,220815WG1,08/15/2022,BSEINE,11:00:00,11.7,29.85,Ebb,,
5,36,220815WG2,08/15/2022,BSEINE,11:50:00,12.2,29.49,Slack,,
5,37,220815WG3,08/15/2022,BSEINE,12:45:00,12.9,27.82,Flood,,
1,38,220816CP1,08/16/2022,BSEINE,11:30:00,11.1,25.8,Ebb,,
1,39,220816CP2,08/16/2022,BSEINE,12:10:00,11.1,25.9,Ebb,,
1,40,220816CP3,08/16/2022,BSEINE,12:45:00,11.2,26.06,Slack,,
1,41,220926CP1,09/26/2022,BSEINE,08:56:00,9.8,26.9,Ebb,,
1,42,220926CP2,09/26/2022,BSEINE,09:50:00,10.2,26.6,Slack,,
1,43,220926CP3,09/26/2022,BSEINE,10:30:00,10.3,29.3,Flood,,
3,44,220927AP1,09/27/2022,BSEINE,10:00:00,9,26.2,Slack,,
3,45,220927AP2,09/27/2022,BSEINE,10:35:00,9,26.6,Slack,,
3,46,220927AP3,09/27/2022,BSEINE,10:55:00,9.4,26.7,Flood,,
