Group,Scientific Name,Common Name,Life Stage,Total (# Sized),Mean,Range,Type
Fish,Ammodytes personatus,Pacific Sand Lance,J/A,1345 (214),100,(45-168),TL
Fish,Ammodytes personatus,Pacific Sand Lance,YOY,176 (93),42,(25-60),TL
Fish,Artedius fenestralis,Padded Sculpin,J/A,54 (57),75,(30-153),TL
Fish,Artedius harringtoni,Scalyhead Sculpin,J/A,21 (28),78,(54-175),TL
Fish,Blepsias cirrhosus,Silver Spotted Sculpin,J,9 (9),32,(25-40),TL
Fish,Blepsias cirrhosus,Silver Spotted Sculpin,J/A,53 (53),68,(11-157),TL
Fish,Clinocottus acuticeps,Sharpnose Sculpin,J/A,1 (1),44,--,--
Fish,Clupea pallasii,Pacific Herring,J/A,6 (6),105,(86-117),FL
Fish,Clupea pallasii,Pacific Herring,YOY,42 (42),59,(19-90),FL
Fish,Cottidae,Unidentified Sculpin,J/A,8 (22),18,(10-27),TL
Fish,Cottidae,Unidentified Sculpin,YOY,1609 (263),21,(7-36),TL
Fish,Eleginus gracilis,Saffron Cod,YOY,5 (5),30,(24-41),FL
Fish,Enophrys bison,Buffalo Sculpin,J/A,15 (15),66,(24-250),TL
Fish,Gadus chalcogrammus,Walleye Pollock,YOY,1 (1),35,--,--
Fish,Gadus macrocephalus,Pacific Cod,J/A,10 (10),140,(95-172),FL
Fish,Gadus macrocephalus,Pacific Cod,YOY,6 (6),61,(50-105),FL
Fish,Gasterosteus aculeatus,Three Spine Stickleback,J/A,7 (6),47,(15-72),TL
Fish,Gymnocanthus galeatus,Armorhead Sculpin,J/A,18 (19),60,(32-106),TL
Fish,Hemilepidotus hemilepidotus,Red Irish Lord,J/A,1 (1),47,--,--
Fish,Hexagrammos decagrammus,Kelp Greenling,J,2 (2),50,(40-60),FL
Fish,Hexagrammos decagrammus,Kelp Greenling,J/A,21 (21),49,(42-56),FL
Fish,Hexagrammos lagocephalus,Rock Greenling,J/A,19 (19),77,(45-101),FL
Fish,Hexagrammos octogrammus,Masked Greenling,J/A,136 (119),142,(42-294),FL
Fish,Hexagrammos stelleri,White Spotted Greenling,J/A,133 (104),108,(30-293),FL
Fish,Hippoglossus stenolepis,Pacific Halibut,J,268 (198),61,(28-225),TL
Fish,Hippoglossus stenolepis,Pacific Halibut,YOY,523 (246),47,(25-153),TL
Fish,Hypomesus pretiosus,Surf Smelt,J/A,10 (10),110,(75-143),FL
Fish,Hypomesus pretiosus,Surf Smelt,YOY,12 (12),48,(40-57),FL
Fish,Isopsetta isolepis,Butter Sole,J,25 (25),38,(20-76),TL
Fish,Isopsetta isolepis,Butter Sole,J/A,32 (32),61,(32-90),TL
Fish,Isopsetta isolepis,Butter Sole,YOY,20 (20),30,(24-34),TL
Fish,Lepidopsetta spp.,Rock Sole,J/A,135 (142),101,(37-269),TL
Fish,Lepidopsetta spp.,Rock Sole,YOY,1 (1),21,--,--
Fish,Leptocottus armatus,Staghorn Sculpin,J/A,96 (96),184,(62-339),FL
Fish,Limanda aspera,Yellowfin Sole,J/A,6 (6),78,(30-97),TL
Fish,Liparis callyodon,Spotted Snailfish,J/A,5 (5),66,(57-77),TL
Fish,Liparis spp.,Snailfish,J,2 (2),14,(13-15),TL
Fish,Liparis spp.,Snailfish,J/A,16 (19),36,(11-72),TL
Fish,Lumpenus fabricii,Slender Eelblenny,YOY,12 (12),35,(31-40),TL
Fish,Lumpenus sagitta,Snake Prickleback,J/A,85 (85),70,(50-112),TL
Fish,Mallotus villosus,Capelin,YOY,68 (37),26,(20-46),FL
Fish,Microgadus proximus,Pacific Tom Cod,J/A,24 (24),104,(82-150),FL
Fish,Myoxocephalus polyacanthocephalus,Great Sculpin,J/A,182 (103),51,(19-280),TL
Fish,Oligocottus maculosus,Tidepool Sculpin,J/A,9 (10),31,(8-59),TL
Fish,Oncorhynchus gorbuscha,Pink Salmon,J,106 (116),51,(28-88),FL
Fish,Oncorhynchus keta,Chum Salmon,J,1 (1),42,--,--
Fish,Oncorhynchus kisutch,Coho Salmon,J,25 (27),115,(88-139),FL
Fish,Oncorhynchus nerka,Sockeye Salmon,J,74 (30),94,(80-110),FL
Fish,Oncorhynchus tshawytscha,Chinook Salmon,J,10 (10),126,(99-139),FL
Fish,Ophiodon elongatus,Lingcod,J,6 (6),91,(60-101),FL
Fish,Ophiodon elongatus,Lingcod,J/A,1 (1),90,--,--
Fish,Osmeridae/Clupeidae spp.,Unidentified Smelt,YOY,9 (8),34,(29-46),TL
