Location,Species,Number
Kachemak Bay/Cook Inlet,Buffalo Sculpin,1
Kachemak Bay/Cook Inlet,Capelin,3
Kachemak Bay/Cook Inlet,Dolly Varden,19
Kachemak Bay/Cook Inlet,Dungeness Crab,2
Kachemak Bay/Cook Inlet,Great Sculpin,11
Kachemak Bay/Cook Inlet,Longfin Smelt,14
Kachemak Bay/Cook Inlet,Masked Greenling,2
Kachemak Bay/Cook Inlet,Pacific Cod,10
Kachemak Bay/Cook Inlet,Pacific Herring,16
Kachemak Bay/Cook Inlet,Pacific Sand Lance,105
Kachemak Bay/Cook Inlet,Pacific Tom Cod,73
Kachemak Bay/Cook Inlet,Pink Salmon,13
Kachemak Bay/Cook Inlet,Rock Sole,1
Kachemak Bay/Cook Inlet,Saffron Cod,5
Kachemak Bay/Cook Inlet,Sand Shrimp,2
Kachemak Bay/Cook Inlet,Sharpnose Sculpin,1
Kachemak Bay/Cook Inlet,Surf Smelt,89
Kachemak Bay/Cook Inlet,White Spotted Greenling,1
Kodiak,Coho Salmon,71
Kodiak,Dolly Varden,1
Kodiak,Great Sculpin,3
Kodiak,Masked Greenling,1
Kodiak,Pacific Sand Lance,7
Kodiak,Rock Sole,2
Kodiak,Sand Sole,38
Kodiak,Staghorn Sculpin,22
Kodiak,Starry Flounder,130
