Date,Location,Latitude,Longitude,Collection Method,Species,Life Stage,Size_mm,Number,Disposition,Comments
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Dolly Varden,Juvenile/Adult,148,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Dolly Varden,Juvenile/Adult,127,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Dolly Varden,Juvenile/Adult,130,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Dolly Varden,Juvenile/Adult,122,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Staghorn Sculpin,Juvenile/Adult,127,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Staghorn Sculpin,Juvenile/Adult,95,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Staghorn Sculpin,Juvenile/Adult,158,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Staghorn Sculpin,Juvenile/Adult,130,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Starry Flounder,Juvenile/Adult,50,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Starry Flounder,Juvenile/Adult,160,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Great Sculpin,Juvenile/Adult,77,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Tidepool Sculpin,Juvenile/Adult,60,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Tidepool Sculpin,Juvenile/Adult,60,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Tidepool Sculpin,Juvenile/Adult,55,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Tidepool Sculpin,Juvenile/Adult,50,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Padded Sculpin,Juvenile/Adult,95,1,released live,
5/25/21,Anchor Point,59.79399,-151.86133,beach seine,Padded Sculpin,Juvenile/Adult,100,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sandfish,Juvenile/Adult,145,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Dolly Varden,Juvenile,155,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Sole,Juvenile/Adult,72,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Sole,Juvenile/Adult,70,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sharpnose Sculpin,Juvenile/Adult,45,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Great Sculpin,Juvenile/Adult,90,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Staghorn Sculpin,Juvenile/Adult,170,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Tidepool Sculpin,Juvenile/Adult,73,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Shrimp,Juvenile/Adult,40,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Shrimp,Juvenile/Adult,30,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Shrimp,Juvenile/Adult,55,1,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Sand Shrimp,Juvenile/Adult,,25,released live,
5/25/21,Anchor Point,59.79384,-151.86244,beach seine,Unidentified Sculpin,Juvenile,,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Sole,Juvenile/Adult,81,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Sole,Juvenile/Adult,51,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,50,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,56,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,96,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,95,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,50,1,released live,
5/25/21,Anchor Point,59.79359,-151.86261,beach seine,Sand Shrimp,Juvenile/Adult,,20,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Unidentified Shrimp,Juvenile/Adult,50,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Unidentified Shrimp,Juvenile/Adult,45,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Staghorn Sculpin,Juvenile/Adult,235,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Staghorn Sculpin,Juvenile/Adult,268,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Staghorn Sculpin,Juvenile/Adult,211,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Staghorn Sculpin,Juvenile/Adult,123,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,127,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,125,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,129,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,140,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,129,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,111,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Pacific Tom Cod,Juvenile/Adult,118,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,81,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,113,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,51,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,49,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,104,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,60,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,111,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Sole,Juvenile/Adult,,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,,25,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,86,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,80,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,78,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,75,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,84,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,77,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,85,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,77,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,65,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Sand Shrimp,Juvenile/Adult,50,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Starry Flounder,Juvenile/Adult,,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Starry Flounder,Juvenile/Adult,52,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Snailfish,Juvenile/Adult,53,1,released live,
5/28/21,Ninilchik,60.049,-151.677,beach seine,Armorhead Sculpin,Juvenile/Adult,,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Unidentified Flatfish,Juvenile,,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Capelin,Juvenile,38,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Capelin,Juvenile,44,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Capelin,Juvenile,47,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sturgeon Poacher,Juvenile/Adult,180,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Snake Prickleback,Juvenile/Adult,280,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,255,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,256,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,270,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,271,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,220,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,244,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,243,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,227,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,305,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Staghorn Sculpin,Juvenile/Adult,195,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,118,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,138,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,132,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,360,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,57,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,68,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,108,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,133,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,37,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,51,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,64,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,66,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,62,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,56,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,53,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Sole,Juvenile/Adult,,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,50,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,76,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,44,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,49,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,72,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,42,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,79,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,80,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,70,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Sand Shrimp,Juvenile/Adult,,19,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Rock Sole,Juvenile/Adult,59,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Rock Sole,Juvenile/Adult,74,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,121,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,79,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,135,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,156,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,135,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Pacific Tom Cod,Juvenile/Adult,110,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Surf Smelt,Juvenile/Adult,167,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Surf Smelt,Juvenile,44,1,released live,
5/28/21,Ninilchik,60.05084,-151.68192,beach seine,Graceful Decorator Crab,Juvenile/Adult,,5,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Starry Flounder,Juvenile/Adult,175,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Starry Flounder,Juvenile/Adult,129,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Starry Flounder,Juvenile/Adult,93,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Sand Sole,Juvenile/Adult,205,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Sand Sole,Juvenile/Adult,240,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Sand Sole,Juvenile/Adult,156,1,released live,
5/28/21,Ninilchik,60.05058,-151.68237,beach seine,Sand Sole,Juvenile/Adult,243,1,released live,
