Species,Number
Alaska Plaice,1
Armorhead Sculpin,3
Buffalo Sculpin,17
Capelin,12
Chinook Salmon,15
Coho Salmon,3
Crescent Gunnel,9
Dolly Varden,20
Dungeness Crab,24
English Sole,193
Graceful Decorator Crab,8
Graceful Kelp Crab,7
Great Sculpin,12
Hairy Crab,1
Hermit Crab,4
Kelp Greenling,4
Larval,2
Longfin Smelt,13
Masked Greenling,1
Nine Spine Stickleback,1
Pacific Cod,6
Pacific Halibut,139
Pacific Herring,731
Pacific Sand Lance,197
Pacific Tom Cod,275
Padded Sculpin,31
Pandalus Shrimp,2
Pink Salmon,1
Rock Sole,157
Saffron Cod,2
Sand Shrimp,2148
Sand Sole,712
Sandfish,26
Scalyhead Sculpin,13
Sharpnose Sculpin,1
Shorthorn Sculpin,2
Silver Spotted Sculpin,144
Snailfish,99
Snake Prickleback,67
Sockeye Salmon,1
Staghorn Sculpin,314
Starry Flounder,296
Sturgeon Poacher,475
Surf Smelt,1361
Tidepool Sculpin,10
Tubenose Poacher,103
Unidentified Crab,7
Unidentified flatfish,1
Unidentified Flatfish,11
Unidentified Sculpin,12
Unidentified Shrimp,12
Walleye Pollock,5
White Spotted Greenling,80
