ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,119.70,151.79,-105.49,56.57
2018-05-19T09:15:00.000,37.07,148.26,-31.53,19.50
2018-05-19T09:30:00.000,116.50,115.96,-51.00,104.74
2018-05-19T09:45:00.000,115.10,157.03,-105.97,44.92
2018-05-19T10:00:00.000,111.00,253.63,-31.28,-106.50
2018-05-19T10:15:00.000,110.40,265.66,-8.35,-110.08
2018-05-19T10:30:00.000,96.00,230.27,-61.37,-73.83
2018-05-19T10:45:00.000,119.70,217.75,-94.64,-73.29
2018-05-19T11:00:00.000,119.50,214.87,-98.04,-68.33
2018-05-19T11:15:00.000,119.70,214.14,-99.08,-67.17
2018-05-19T11:30:00.000,119.60,218.10,-94.11,-73.80
2018-05-19T11:45:00.000,118.90,8.23,117.68,17.02
2018-05-19T12:00:00.000,118.10,181.62,-118.05,-3.33
2018-05-19T12:15:00.000,92.19,160.15,-86.71,31.30
2018-05-19T12:30:00.000,92.54,175.96,-92.31,6.53
2018-05-19T12:45:00.000,111.60,173.97,-110.98,11.73
2018-05-19T13:00:00.000,107.38,303.84,59.80,-89.18
2018-05-19T13:15:00.000,110.40,271.41,2.72,-110.37
2018-05-19T13:30:00.000,109.65,289.15,35.98,-103.58
2018-05-19T13:45:00.000,110.30,280.37,19.86,-108.50
2018-05-19T14:00:00.000,111.30,145.93,-92.20,62.35
2018-05-19T14:15:00.000,111.10,30.28,95.94,56.02
2018-05-19T14:30:00.000,111.40,343.39,106.75,-31.85
2018-05-19T14:45:00.000,110.90,123.51,-61.22,92.47
2018-05-19T15:00:00.000,118.50,151.55,-104.19,56.44
2018-05-19T15:15:00.000,114.90,151.87,-101.32,54.18
2018-05-19T15:30:00.000,118.60,256.94,-26.80,-115.53
2018-05-19T15:45:00.000,119.20,169.84,-117.33,21.03
2018-05-19T16:00:00.000,118.50,188.95,-117.06,-18.43
2018-05-19T16:15:00.000,118.60,195.03,-114.54,-30.75
2018-05-19T16:30:00.000,117.50,186.32,-116.79,-12.94
2018-05-19T16:45:00.000,113.50,98.16,-16.10,112.35
2018-05-19T17:00:00.000,118.80,143.04,-94.93,71.42
2018-05-19T17:15:00.000,117.90,114.97,-49.78,106.88
2018-05-19T17:30:00.000,117.90,117.31,-54.09,104.76
2018-05-19T17:45:00.000,117.90,120.76,-60.29,101.32
2018-05-19T18:00:00.000,117.90,115.29,-50.36,106.60
2018-05-19T18:15:00.000,117.90,115.55,-50.85,106.37
2018-05-19T18:30:00.000,117.50,118.88,-56.76,102.88
2018-05-19T18:45:00.000,47.08,304.35,26.57,-38.87
2018-05-19T19:00:00.000,117.30,224.37,-83.85,-82.03
2018-05-19T19:15:00.000,117.20,223.94,-84.39,-81.33
2018-05-19T19:30:00.000,117.20,223.12,-85.55,-80.11
2018-05-19T19:45:00.000,117.10,222.13,-86.85,-78.55
2018-05-19T20:00:00.000,117.10,221.77,-87.34,-78.00
2018-05-19T20:15:00.000,117.10,220.79,-88.65,-76.51
2018-05-19T20:30:00.000,117.10,220.98,-88.41,-76.79
2018-05-19T20:45:00.000,117.10,220.47,-89.08,-76.01
2018-05-19T21:00:00.000,117.10,220.13,-89.53,-75.47
2018-05-19T21:15:00.000,117.10,219.62,-90.20,-74.68
2018-05-19T21:30:00.000,117.10,219.27,-90.66,-74.12
2018-05-19T21:45:00.000,117.10,218.99,-91.02,-73.68
2018-05-19T22:00:00.000,117.10,218.04,-92.23,-72.16
2018-05-19T22:15:00.000,117.10,218.58,-91.54,-73.02
2018-05-19T22:30:00.000,117.10,218.00,-92.28,-72.09
2018-05-19T22:45:00.000,117.10,217.78,-92.55,-71.74
2018-05-19T23:00:00.000,117.10,218.34,-91.85,-72.64
2018-05-19T23:15:00.000,117.10,217.17,-93.31,-70.75
2018-05-19T23:30:00.000,117.10,217.31,-93.14,-70.98
2018-05-19T23:45:00.000,117.00,217.15,-93.26,-70.65
2018-05-20T00:00:00.000,117.10,216.61,-93.99,-69.84
2018-05-20T00:15:00.000,117.10,216.51,-94.12,-69.67
2018-05-20T00:30:00.000,117.10,216.80,-93.77,-70.14
2018-05-20T00:45:00.000,117.10,217.33,-93.12,-71.01
2018-05-20T01:00:00.000,117.10,217.43,-92.99,-71.16
2018-05-20T01:15:00.000,117.10,216.26,-94.42,-69.26
2018-05-20T01:30:00.000,117.10,217.24,-93.22,-70.87
2018-05-20T01:45:00.000,117.10,217.06,-93.44,-70.57
2018-05-20T02:00:00.000,117.10,217.21,-93.26,-70.82
2018-05-20T02:15:00.000,117.10,216.33,-94.33,-69.38
2018-05-20T02:30:00.000,117.10,216.76,-93.81,-70.08
2018-05-20T02:45:00.000,117.10,216.49,-94.15,-69.64
2018-05-20T03:00:00.000,117.10,216.33,-94.34,-69.38
2018-05-20T03:15:00.000,117.10,216.51,-94.12,-69.67
2018-05-20T03:30:00.000,117.10,217.14,-93.35,-70.70
2018-05-20T03:45:00.000,117.10,217.34,-93.10,-71.03
2018-05-20T04:00:00.000,117.10,217.21,-93.26,-70.82
