ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,119.70,144.35,-97.26,69.77
2018-05-19T09:15:00.000,118.10,170.26,-116.40,19.97
2018-05-19T09:30:00.000,113.40,100.25,-20.19,111.59
2018-05-19T09:45:00.000,115.40,157.48,-106.60,44.20
2018-05-19T10:00:00.000,107.73,238.44,-56.38,-91.79
2018-05-19T10:15:00.000,106.85,266.72,-6.11,-106.67
2018-05-19T10:30:00.000,95.60,248.99,-34.28,-89.24
2018-05-19T10:45:00.000,117.20,249.75,-40.56,-109.96
2018-05-19T11:00:00.000,116.90,250.75,-38.55,-110.36
2018-05-19T11:15:00.000,117.10,250.43,-39.23,-110.33
2018-05-19T11:30:00.000,117.10,251.46,-37.24,-111.02
2018-05-19T11:45:00.000,118.00,296.99,53.56,-105.14
2018-05-19T12:00:00.000,118.00,199.58,-111.18,-39.54
2018-05-19T12:15:00.000,106.85,139.31,-81.01,69.67
2018-05-19T12:30:00.000,107.03,159.23,-100.07,37.95
2018-05-19T12:45:00.000,112.20,150.50,-97.66,55.25
2018-05-19T13:00:00.000,107.20,45.59,75.02,76.58
2018-05-19T13:15:00.000,108.60,355.31,108.24,-8.89
2018-05-19T13:30:00.000,107.55,30.53,92.64,54.64
2018-05-19T13:45:00.000,108.60,17.97,103.30,33.50
2018-05-19T14:00:00.000,110.00,122.92,-59.77,92.34
2018-05-19T14:15:00.000,110.60,87.79,4.27,110.52
2018-05-19T14:30:00.000,38.60,259.30,-7.17,-37.93
2018-05-19T14:45:00.000,5.83,189.02,-5.76,-0.91
2018-05-19T15:00:00.000,2.72,167.78,-2.66,0.58
2018-05-19T15:15:00.000,4.68,174.11,-4.65,0.48
2018-05-19T15:30:00.000,7.25,149.57,-6.25,3.67
2018-05-19T15:45:00.000,5.94,160.98,-5.61,1.93
2018-05-19T16:00:00.000,4.57,138.75,-3.44,3.01
2018-05-19T16:15:00.000,7.44,100.16,-1.31,7.32
2018-05-19T16:30:00.000,7.73,109.52,-2.58,7.28
2018-05-19T16:45:00.000,6.67,104.52,-1.67,6.46
2018-05-19T17:00:00.000,8.11,116.42,-3.61,7.26
2018-05-19T17:15:00.000,7.25,117.41,-3.34,6.43
2018-05-19T17:30:00.000,7.92,131.83,-5.28,5.90
2018-05-19T17:45:00.000,7.05,135.35,-5.02,4.96
2018-05-19T18:00:00.000,6.57,142.30,-5.19,4.01
2018-05-19T18:15:00.000,6.96,142.54,-5.52,4.23
2018-05-19T18:30:00.000,7.73,135.62,-5.52,5.40
2018-05-19T18:45:00.000,6.86,134.88,-4.84,4.86
2018-05-19T19:00:00.000,2.03,155.04,-1.84,0.86
2018-05-19T19:15:00.000,3.65,288.95,1.18,-3.45
2018-05-19T19:30:00.000,8.68,199.59,-8.18,-2.91
2018-05-19T19:45:00.000,11.85,179.18,-11.85,0.17
2018-05-19T20:00:00.000,9.66,185.34,-9.62,-0.90
2018-05-19T20:15:00.000,10.01,190.64,-9.84,-1.85
2018-05-19T20:30:00.000,1.58,153.26,-1.41,0.71
2018-05-19T20:45:00.000,3.07,186.63,-3.05,-0.35
2018-05-19T21:00:00.000,6.04,186.17,-6.00,-0.65
2018-05-19T21:15:00.000,7.53,190.31,-7.41,-1.35
2018-05-19T21:30:00.000,9.12,179.48,-9.12,0.08
2018-05-19T21:45:00.000,10.45,183.44,-10.43,-0.63
2018-05-19T22:00:00.000,10.28,182.29,-10.27,-0.41
2018-05-19T22:15:00.000,11.61,188.50,-11.48,-1.72
2018-05-19T22:30:00.000,11.44,178.15,-11.44,0.37
2018-05-19T22:45:00.000,13.73,176.72,-13.71,0.79
2018-05-19T23:00:00.000,15.21,162.29,-14.49,4.63
2018-05-19T23:15:00.000,14.10,170.81,-13.92,2.25
2018-05-19T23:30:00.000,17.25,178.63,-17.25,0.41
2018-05-19T23:45:00.000,16.06,176.34,-16.03,1.03
2018-05-20T00:00:00.000,12.80,175.86,-12.77,0.92
2018-05-20T00:15:00.000,13.88,179.79,-13.88,0.05
2018-05-20T00:30:00.000,13.03,180.76,-13.03,-0.17
2018-05-20T00:45:00.000,15.64,177.80,-15.63,0.60
2018-05-20T01:00:00.000,14.92,176.11,-14.89,1.01
2018-05-20T01:15:00.000,12.88,176.00,-12.85,0.90
2018-05-20T01:30:00.000,11.77,174.55,-11.72,1.12
2018-05-20T01:45:00.000,10.87,167.43,-10.60,2.37
2018-05-20T02:00:00.000,8.40,171.45,-8.30,1.25
2018-05-20T02:15:00.000,7.34,170.37,-7.24,1.23
2018-05-20T02:30:00.000,8.30,165.69,-8.04,2.05
2018-05-20T02:45:00.000,6.86,146.77,-5.74,3.76
2018-05-20T03:00:00.000,8.40,146.26,-6.98,4.66
2018-05-20T03:15:00.000,7.82,149.29,-6.72,3.99
2018-05-20T03:30:00.000,7.05,136.42,-5.11,4.86
2018-05-20T03:45:00.000,5.94,120.70,-3.03,5.10
2018-05-20T04:00:00.000,6.25,129.39,-3.97,4.83
2018-05-20T04:15:00.000,6.04,116.09,-2.66,5.42
2018-05-20T04:30:00.000,5.73,115.59,-2.47,5.16
2018-05-20T04:45:00.000,3.99,111.90,-1.49,3.70
2018-05-20T05:00:00.000,9.75,141.73,-7.65,6.04
