ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,105.28,277.39,13.53,-104.40
2018-05-19T09:15:00.000,118.10,112.48,-45.15,109.13
2018-05-19T09:30:00.000,116.10,107.39,-34.69,110.80
2018-05-19T09:45:00.000,113.90,141.49,-89.12,70.93
2018-05-19T10:00:00.000,112.90,118.64,-54.12,99.08
2018-05-19T10:15:00.000,112.40,265.03,-9.74,-111.98
2018-05-19T10:30:00.000,95.00,235.27,-54.12,-78.07
2018-05-19T10:45:00.000,117.50,210.55,-101.19,-59.72
2018-05-19T11:00:00.000,117.30,210.59,-100.98,-59.69
2018-05-19T11:15:00.000,117.40,206.36,-105.19,-52.13
2018-05-19T11:30:00.000,117.40,208.11,-103.56,-55.31
2018-05-19T11:45:00.000,115.50,66.16,46.68,105.65
2018-05-19T12:00:00.000,116.60,159.41,-109.15,41.01
2018-05-19T12:15:00.000,108.25,174.38,-107.73,10.61
2018-05-19T12:30:00.000,108.25,188.35,-107.10,-15.72
2018-05-19T12:45:00.000,112.50,176.36,-112.27,7.14
2018-05-19T13:00:00.000,109.65,302.62,59.11,-92.35
2018-05-19T13:15:00.000,112.20,282.30,23.90,-109.62
2018-05-19T13:30:00.000,31.51,98.86,-4.85,31.13
2018-05-19T13:45:00.000,8.49,311.25,5.60,-6.39
2018-05-19T14:00:00.000,15.92,344.94,15.38,-4.14
2018-05-19T14:15:00.000,3.07,213.66,-2.55,-1.70
2018-05-19T14:30:00.000,13.80,321.13,10.75,-8.66
2018-05-19T14:45:00.000,19.08,345.43,18.46,-4.80
2018-05-19T15:00:00.000,26.54,341.69,25.19,-8.34
2018-05-19T15:15:00.000,33.89,342.55,32.33,-10.16
2018-05-19T15:30:00.000,32.25,347.56,31.50,-6.95
2018-05-19T15:45:00.000,33.14,355.51,33.04,-2.59
2018-05-19T16:00:00.000,28.96,352.89,28.73,-3.58
2018-05-19T16:15:00.000,24.41,351.94,24.17,-3.42
2018-05-19T16:30:00.000,19.01,354.28,18.92,-1.89
2018-05-19T16:45:00.000,14.55,345.77,14.10,-3.58
2018-05-19T17:00:00.000,10.87,348.58,10.65,-2.15
2018-05-19T17:15:00.000,13.35,353.85,13.27,-1.43
2018-05-19T17:30:00.000,12.57,0.54,12.57,0.12
2018-05-19T17:45:00.000,9.57,1.84,9.56,0.31
2018-05-19T18:00:00.000,5.62,11.32,5.51,1.10
2018-05-19T18:15:00.000,7.63,347.26,7.44,-1.68
2018-05-19T18:30:00.000,3.18,48.18,2.12,2.37
2018-05-19T18:45:00.000,1.58,100.57,-0.29,1.56
2018-05-19T19:00:00.000,2.61,114.80,-1.09,2.37
2018-05-19T19:15:00.000,4.45,234.28,-2.60,-3.62
2018-05-19T19:30:00.000,8.40,242.56,-3.87,-7.45
2018-05-19T19:45:00.000,11.44,259.80,-2.03,-11.26
