ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,119.60,157.04,-110.12,46.66
2018-05-19T09:15:00.000,118.10,107.44,-35.41,112.67
2018-05-19T09:30:00.000,117.40,116.54,-52.45,105.03
2018-05-19T09:45:00.000,112.80,148.42,-96.09,59.07
2018-05-19T10:00:00.000,116.00,148.44,-98.84,60.72
2018-05-19T10:15:00.000,115.60,240.71,-56.56,-100.82
2018-05-19T10:30:00.000,87.26,237.58,-46.78,-73.66
2018-05-19T10:45:00.000,118.10,241.87,-55.68,-104.15
2018-05-19T11:00:00.000,117.80,242.49,-54.40,-104.48
2018-05-19T11:15:00.000,118.00,241.54,-56.23,-103.74
2018-05-19T11:30:00.000,118.00,242.39,-54.70,-104.56
2018-05-19T11:45:00.000,114.30,97.02,-13.97,113.44
2018-05-19T12:00:00.000,114.90,166.34,-111.65,27.14
2018-05-19T12:15:00.000,111.60,185.24,-111.13,-10.20
2018-05-19T12:30:00.000,111.70,196.23,-107.25,-31.22
2018-05-19T12:45:00.000,115.90,186.26,-115.21,-12.64
2018-05-19T13:00:00.000,112.40,280.60,20.67,-110.48
2018-05-19T13:15:00.000,113.90,233.39,-67.92,-91.43
2018-05-19T13:30:00.000,113.30,74.54,30.20,109.20
2018-05-19T13:45:00.000,113.70,157.78,-105.26,42.99
2018-05-19T14:00:00.000,114.50,120.06,-57.35,99.10
2018-05-19T14:15:00.000,115.30,97.38,-14.81,114.34
2018-05-19T14:30:00.000,115.80,92.56,-5.17,115.68
2018-05-19T14:45:00.000,118.60,117.90,-55.49,104.82
2018-05-19T15:00:00.000,117.50,126.06,-69.17,94.99
2018-05-19T15:15:00.000,115.00,128.45,-71.51,90.06
2018-05-19T15:30:00.000,118.70,259.17,-22.31,-116.58
2018-05-19T15:45:00.000,111.60,237.18,-60.49,-93.78
2018-05-19T16:00:00.000,111.60,121.00,-57.47,95.66
2018-05-19T16:15:00.000,19.21,243.55,-8.56,-17.20
2018-05-19T16:30:00.000,21.19,255.34,-5.36,-20.50
2018-05-19T16:45:00.000,31.14,195.38,-30.02,-8.26
2018-05-19T17:00:00.000,31.44,221.38,-23.59,-20.78
2018-05-19T17:15:00.000,32.18,227.22,-21.85,-23.62
2018-05-19T17:30:00.000,32.85,215.43,-26.76,-19.04
2018-05-19T17:45:00.000,32.70,217.15,-26.06,-19.74
2018-05-19T18:00:00.000,35.17,228.91,-23.12,-26.51
2018-05-19T18:15:00.000,35.00,228.91,-23.00,-26.38
2018-05-19T18:30:00.000,39.46,233.21,-23.63,-31.60
2018-05-19T18:45:00.000,40.64,236.35,-22.52,-33.84
2018-05-19T19:00:00.000,39.25,240.71,-19.20,-34.23
2018-05-19T19:15:00.000,39.89,243.53,-17.78,-35.71
2018-05-19T19:30:00.000,28.15,280.65,5.20,-27.67
2018-05-19T19:45:00.000,16.56,326.61,13.83,-9.11
2018-05-19T20:00:00.000,33.74,279.99,5.85,-33.23
2018-05-19T20:15:00.000,30.72,284.08,7.47,-29.80
2018-05-19T20:30:00.000,27.38,290.14,9.43,-25.70
2018-05-19T20:45:00.000,21.96,301.29,11.41,-18.77
2018-05-19T21:00:00.000,6.46,306.64,3.86,-5.18
2018-05-19T21:15:00.000,15.99,277.37,2.05,-15.86
2018-05-19T21:30:00.000,3.07,5.42,3.05,0.29
2018-05-19T21:45:00.000,9.84,326.44,8.20,-5.44
2018-05-19T22:00:00.000,17.32,315.91,12.44,-12.05
2018-05-19T22:15:00.000,18.81,282.66,4.12,-18.35
2018-05-19T22:30:00.000,4.22,193.52,-4.11,-0.99
2018-05-19T22:45:00.000,14.10,318.35,10.54,-9.37
2018-05-19T23:00:00.000,3.53,194.73,-3.41,-0.90
2018-05-19T23:15:00.000,2.95,116.74,-1.33,2.64
2018-05-19T23:30:00.000,6.96,128.98,-4.38,5.41
2018-05-19T23:45:00.000,7.05,168.59,-6.91,1.40
2018-05-20T00:00:00.000,7.73,191.58,-7.57,-1.55
2018-05-20T00:15:00.000,7.15,183.15,-7.14,-0.39
2018-05-20T00:30:00.000,4.57,211.64,-3.89,-2.40
2018-05-20T00:45:00.000,3.53,160.03,-3.32,1.21
2018-05-20T01:00:00.000,5.10,153.29,-4.55,2.29
2018-05-20T01:15:00.000,5.10,153.15,-4.55,2.30
2018-05-20T01:30:00.000,16.42,109.08,-5.37,15.52
2018-05-20T01:45:00.000,16.49,98.12,-2.33,16.32
2018-05-20T02:00:00.000,20.99,92.38,-0.87,20.98
2018-05-20T02:15:00.000,16.84,89.67,0.10,16.84
2018-05-20T02:30:00.000,14.70,95.98,-1.53,14.62
2018-05-20T02:45:00.000,9.48,119.61,-4.68,8.24
2018-05-20T03:00:00.000,7.73,137.10,-5.66,5.26
2018-05-20T03:15:00.000,4.22,176.04,-4.21,0.29
2018-05-20T03:30:00.000,6.57,244.53,-2.82,-5.93
2018-05-20T03:45:00.000,10.10,245.93,-4.12,-9.22
2018-05-20T04:00:00.000,18.21,255.08,-4.69,-17.60
2018-05-20T04:15:00.000,22.81,240.62,-11.19,-19.87
2018-05-20T04:30:00.000,25.12,231.21,-15.74,-19.58
2018-05-20T04:45:00.000,19.48,253.03,-5.68,-18.63
2018-05-20T05:00:00.000,24.09,237.29,-13.02,-20.27
2018-05-20T05:15:00.000,24.29,244.18,-10.58,-21.86
2018-05-20T05:30:00.000,25.51,241.75,-12.07,-22.47
2018-05-20T05:45:00.000,24.67,243.70,-10.93,-22.12
2018-05-20T06:00:00.000,27.05,239.46,-13.75,-23.30
2018-05-20T06:15:00.000,25.51,240.41,-12.59,-22.18
2018-05-20T06:30:00.000,24.48,254.91,-6.37,-23.64
2018-05-20T06:45:00.000,26.99,257.38,-5.90,-26.34
2018-05-20T07:00:00.000,25.25,274.46,1.97,-25.17
2018-05-20T07:15:00.000,26.86,275.66,2.65,-26.73
2018-05-20T07:30:00.000,29.23,270.29,0.15,-29.23
2018-05-20T07:45:00.000,17.53,293.97,7.12,-16.02
2018-05-20T08:00:00.000,25.89,282.65,5.67,-25.26
2018-05-20T08:15:00.000,4.57,293.00,1.79,-4.21
2018-05-20T08:30:00.000,1.92,103.07,-0.43,1.87
2018-05-20T08:45:00.000,14.70,323.15,11.76,-8.81
2018-05-20T09:00:00.000,17.95,314.47,12.57,-12.81
2018-05-20T09:15:00.000,12.10,306.46,7.19,-9.73
2018-05-20T09:30:00.000,21.96,298.46,10.47,-19.31
2018-05-20T09:45:00.000,23.84,309.03,15.01,-18.52
