ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,119.70,97.15,-14.91,118.77
2018-05-19T09:15:00.000,114.40,100.83,-21.49,112.36
2018-05-19T09:30:00.000,116.60,100.45,-21.15,114.67
2018-05-19T09:45:00.000,114.60,136.22,-82.74,79.29
2018-05-19T10:00:00.000,112.10,63.15,50.63,100.01
2018-05-19T10:15:00.000,111.50,280.50,20.31,-109.63
2018-05-19T10:30:00.000,95.80,238.65,-49.84,-81.81
2018-05-19T10:45:00.000,117.00,248.96,-42.00,-109.20
2018-05-19T11:00:00.000,116.80,248.26,-43.26,-108.49
2018-05-19T11:15:00.000,116.90,247.66,-44.43,-108.13
2018-05-19T11:30:00.000,117.00,247.89,-44.03,-108.40
2018-05-19T11:45:00.000,116.70,7.09,115.81,14.40
2018-05-19T12:00:00.000,117.40,182.77,-117.26,-5.67
2018-05-19T12:15:00.000,105.80,166.64,-102.93,24.46
2018-05-19T12:30:00.000,105.97,185.03,-105.57,-9.29
2018-05-19T12:45:00.000,112.80,165.38,-109.15,28.47
2018-05-19T13:00:00.000,111.40,358.07,111.34,-3.75
2018-05-19T13:15:00.000,111.20,340.96,105.12,-36.27
2018-05-19T13:30:00.000,109.83,12.40,107.26,23.58
2018-05-19T13:45:00.000,110.40,2.66,110.28,5.12
2018-05-19T14:00:00.000,112.00,125.35,-64.79,91.36
2018-05-19T14:15:00.000,117.90,71.41,37.58,111.75
2018-05-19T14:30:00.000,118.30,52.61,71.84,93.99
2018-05-19T14:45:00.000,119.50,137.33,-87.86,80.99
2018-05-19T15:00:00.000,119.00,152.00,-105.07,55.87
2018-05-19T15:15:00.000,115.90,147.92,-98.21,61.55
2018-05-19T15:30:00.000,118.50,274.52,9.33,-118.13
2018-05-19T15:45:00.000,119.10,162.26,-113.44,36.29
2018-05-19T16:00:00.000,119.40,172.30,-118.32,16.00
2018-05-19T16:15:00.000,119.40,179.09,-119.38,1.90
