ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2018-05-19T09:00:00.000,119.60,158.57,-111.33,43.70
2018-05-19T09:15:00.000,118.60,204.48,-107.94,-49.14
2018-05-19T09:30:00.000,113.20,105.19,-29.65,109.25
2018-05-19T09:45:00.000,114.90,139.85,-87.82,74.09
2018-05-19T10:00:00.000,110.50,279.89,18.98,-108.86
2018-05-19T10:15:00.000,109.65,277.59,14.49,-108.69
2018-05-19T10:30:00.000,98.40,205.53,-88.80,-42.40
2018-05-19T10:45:00.000,117.00,250.06,-39.90,-109.99
2018-05-19T11:00:00.000,116.90,249.10,-41.70,-109.21
2018-05-19T11:15:00.000,117.00,248.85,-42.22,-109.12
2018-05-19T11:30:00.000,117.00,251.59,-36.96,-111.01
2018-05-19T11:45:00.000,116.20,35.38,94.74,67.29
2018-05-19T12:00:00.000,116.80,167.91,-114.21,24.46
2018-05-19T12:15:00.000,106.85,131.89,-71.34,79.55
2018-05-19T12:30:00.000,106.85,152.11,-94.44,49.98
2018-05-19T12:45:00.000,113.20,140.39,-87.21,72.17
2018-05-19T13:00:00.000,110.80,45.73,77.34,79.34
2018-05-19T13:15:00.000,117.50,5.05,117.04,10.35
2018-05-19T13:30:00.000,116.50,353.16,115.67,-13.87
2018-05-19T13:45:00.000,117.10,339.88,109.95,-40.28
2018-05-19T14:00:00.000,117.30,141.78,-92.15,72.57
2018-05-19T14:15:00.000,117.00,92.59,-5.29,116.88
2018-05-19T14:30:00.000,119.60,74.34,32.29,115.16
2018-05-19T14:45:00.000,119.80,130.00,-77.01,91.77
2018-05-19T15:00:00.000,119.30,137.97,-88.61,79.87
2018-05-19T15:15:00.000,115.40,134.84,-81.37,81.83
2018-05-19T15:30:00.000,118.60,231.14,-74.41,-92.35
2018-05-19T15:45:00.000,119.20,134.13,-83.00,85.55
2018-05-19T16:00:00.000,119.40,142.43,-94.64,72.79
2018-05-19T16:15:00.000,119.50,145.68,-98.70,67.37
2018-05-19T16:30:00.000,118.20,148.21,-100.47,62.27
2018-05-19T16:45:00.000,114.30,80.67,18.54,112.79
2018-05-19T17:00:00.000,119.00,97.33,-15.18,118.03
2018-05-19T17:15:00.000,118.00,76.94,26.67,114.95
2018-05-19T17:30:00.000,118.00,77.73,25.08,115.30
2018-05-19T17:45:00.000,118.00,78.19,24.14,115.50
2018-05-19T18:00:00.000,118.00,78.12,24.30,115.47
2018-05-19T18:15:00.000,118.00,78.62,23.29,115.68
2018-05-19T18:30:00.000,117.80,79.05,22.38,115.65
2018-05-19T18:45:00.000,118.90,80.64,19.35,117.32
2018-05-19T19:00:00.000,34.48,210.05,-29.85,-17.26
2018-05-19T19:15:00.000,117.10,179.90,-117.10,0.21
2018-05-19T19:30:00.000,117.10,184.27,-116.78,-8.71
2018-05-19T19:45:00.000,117.10,184.29,-116.77,-8.77
2018-05-19T20:00:00.000,117.20,186.51,-116.44,-13.28
2018-05-19T20:15:00.000,117.20,185.31,-116.70,-10.84
2018-05-19T20:30:00.000,117.20,187.06,-116.31,-14.41
2018-05-19T20:45:00.000,117.20,184.49,-116.84,-9.17
2018-05-19T21:00:00.000,117.20,187.84,-116.10,-15.99
2018-05-19T21:15:00.000,117.20,190.04,-115.41,-20.43
2018-05-19T21:30:00.000,117.30,189.88,-115.56,-20.13
2018-05-19T21:45:00.000,117.30,187.69,-116.25,-15.70
2018-05-19T22:00:00.000,117.30,189.42,-115.72,-19.21
2018-05-19T22:15:00.000,117.30,189.35,-115.74,-19.07
2018-05-19T22:30:00.000,117.30,191.91,-114.77,-24.22
2018-05-19T22:45:00.000,117.30,190.33,-115.40,-21.04
