Common,Family2
Pacific Cod,Gadidae
Saffron Cod,Gadidae
Pacific Tom Cod,Gadidae
Unidentified Gadid,Gadidae
Walleye Pollock,Gadidae
Alaska Plaice,Pleuronectidae
English Sole,Pleuronectidae
Unidentified Flatfish (Juvenile),Pleuronectidae
Rock Sole,Pleuronectidae
Sand Sole,Pleuronectidae
Starry Flounder,Pleuronectidae
Unidentified Flatfish,Pleuronectidae
Capelin,Osmeridae
Eulachon,Osmeridae
Pacific Herring,Clupeidae
Longfin Smelt,Osmeridae
Pacific Sand Lance,Ammodytidae
Sandfish,Trichodontidae
Surf Smelt,Osmeridae
Kelp Greenling,Hexagrammodae
Lingcod,Hexagrammodae
Masked Greenling,Hexagrammodae
Rock Greenling,Hexagrammodae
Unidentified Greenling,Hexagrammodae
White Spotted Greenling,Hexagrammodae
Crescent Gunnel,Pholidae
Penpoint Gunnel,Pholidae
Larval Fish,Larval
Sturgeon Poacher,Agonidae
Tubenose Poacher,Agonidae
Slender Eelblenny,Stichaeidae
Snake Prickleback,Stichaeidae
Chinook Salmon,Salmonidae
Chinook Salmon (Adult),Salmonidae (A)
Chinook Salmon (Juvenile),Salmonidae (J)
Chum Salmon,Salmonidae
Chum Salmon (Adult),Salmonidae (A)
Chum Salmon (Juvenile),Salmonidae (J)
Coho Salmon,Salmonidae
Coho Salmon (Adult),Salmonidae (A)
Coho Salmon (Juvenile),Salmonidae (J)
Dolly Varden,Salmonidae
Dolly Varden (Adult),Salmonidae (A)
Dolly Varden (Juvenile),Salmonidae (J)
Pink Salmon,Salmonidae
Pink Salmon (Adult),Salmonidae (A)
Pink Salmon (Juvenile),Salmonidae (J)
Sockeye Salmon,Salmonidae
Sockeye Salmon (Adult),Salmonidae (A)
Sockeye Salmon (Juvenile),Salmonidae (J)
Armorhead Sculpin,Cottidae
Brown Irish Lord,Cottidae
Buffalo Sculpin,Cottidae
Great Sculpin,Cottidae
Unidentified Sculpin (Juvenile),Cottidae
Padded Sculpin,Cottidae
Red Irish Lord,Cottidae
Scalyhead Sculpin,Cottidae
Sharpnose Sculpin,Cottidae
Shorthorn Sculpin,Cottidae
Silver Spotted Sculpin,Hemitripteridae
Tidepool Sculpin,Cottidae
Unidentified Sculpin,Cottidae
Snailfish,Liparidae
Three Spine Stickleback,Gasterosteidae
Staghorn Sculpin,Cottidae
Slender Cockscomb,Stichaeidae
Nine Spine Stickleback,Gasterosteidae
