Date	Day	Time	Pred	
2018/05/01	Tue	00:00	6.60	
2018/05/01	Tue	00:15	7.78	
2018/05/01	Tue	00:30	9.00	
2018/05/01	Tue	00:45	10.24	
2018/05/01	Tue	01:00	11.48	
2018/05/01	Tue	01:15	12.70	
2018/05/01	Tue	01:30	13.88	
2018/05/01	Tue	01:45	15.00	
2018/05/01	Tue	02:00	16.04	
2018/05/01	Tue	02:15	16.98	
2018/05/01	Tue	02:30	17.81	
2018/05/01	Tue	02:45	18.52	
2018/05/01	Tue	03:00	19.09	
2018/05/01	Tue	03:15	19.52	
2018/05/01	Tue	03:30	19.79	
2018/05/01	Tue	03:45	19.92	
2018/05/01	Tue	04:00	19.89	
2018/05/01	Tue	04:15	19.70	
2018/05/01	Tue	04:30	19.36	
2018/05/01	Tue	04:45	18.87	
2018/05/01	Tue	05:00	18.23	
2018/05/01	Tue	05:15	17.46	
2018/05/01	Tue	05:30	16.56	
2018/05/01	Tue	05:45	15.54	
2018/05/01	Tue	06:00	14.41	
2018/05/01	Tue	06:15	13.19	
2018/05/01	Tue	06:30	11.90	
2018/05/01	Tue	06:45	10.56	
2018/05/01	Tue	07:00	9.17	
2018/05/01	Tue	07:15	7.76	
2018/05/01	Tue	07:30	6.35	
2018/05/01	Tue	07:45	4.96	
2018/05/01	Tue	08:00	3.61	
2018/05/01	Tue	08:15	2.33	
2018/05/01	Tue	08:30	1.14	
2018/05/01	Tue	08:45	0.07	
2018/05/01	Tue	09:00	-0.86	
2018/05/01	Tue	09:15	-1.64	
2018/05/01	Tue	09:30	-2.25	
2018/05/01	Tue	09:45	-2.67	
2018/05/01	Tue	10:00	-2.90	
2018/05/01	Tue	10:15	-2.95	
2018/05/01	Tue	10:30	-2.81	
2018/05/01	Tue	10:45	-2.50	
2018/05/01	Tue	11:00	-2.02	
2018/05/01	Tue	11:15	-1.39	
2018/05/01	Tue	11:30	-0.63	
2018/05/01	Tue	11:45	0.25	
2018/05/01	Tue	12:00	1.24	
2018/05/01	Tue	12:15	2.32	
2018/05/01	Tue	12:30	3.48	
2018/05/01	Tue	12:45	4.70	
2018/05/01	Tue	13:00	5.97	
2018/05/01	Tue	13:15	7.26	
2018/05/01	Tue	13:30	8.57	
2018/05/01	Tue	13:45	9.86	
2018/05/01	Tue	14:00	11.12	
2018/05/01	Tue	14:15	12.33	
2018/05/01	Tue	14:30	13.47	
2018/05/01	Tue	14:45	14.53	
2018/05/01	Tue	15:00	15.48	
2018/05/01	Tue	15:15	16.31	
2018/05/01	Tue	15:30	17.02	
2018/05/01	Tue	15:45	17.59	
2018/05/01	Tue	16:00	18.01	
2018/05/01	Tue	16:15	18.29	
2018/05/01	Tue	16:30	18.42	
2018/05/01	Tue	16:45	18.40	
2018/05/01	Tue	17:00	18.22	
2018/05/01	Tue	17:15	17.90	
2018/05/01	Tue	17:30	17.43	
2018/05/01	Tue	17:45	16.83	
2018/05/01	Tue	18:00	16.11	
2018/05/01	Tue	18:15	15.27	
2018/05/01	Tue	18:30	14.34	
2018/05/01	Tue	18:45	13.32	
2018/05/01	Tue	19:00	12.23	
2018/05/01	Tue	19:15	11.10	
2018/05/01	Tue	19:30	9.94	
2018/05/01	Tue	19:45	8.76	
2018/05/01	Tue	20:00	7.60	
2018/05/01	Tue	20:15	6.47	
2018/05/01	Tue	20:30	5.39	
2018/05/01	Tue	20:45	4.39	
2018/05/01	Tue	21:00	3.50	
2018/05/01	Tue	21:15	2.73	
2018/05/01	Tue	21:30	2.10	
2018/05/01	Tue	21:45	1.63	
2018/05/01	Tue	22:00	1.33	
2018/05/01	Tue	22:15	1.20	
2018/05/01	Tue	22:30	1.25	
2018/05/01	Tue	22:45	1.48	
2018/05/01	Tue	23:00	1.87	
2018/05/01	Tue	23:15	2.40	
2018/05/01	Tue	23:30	3.07	
2018/05/01	Tue	23:45	3.86	
2018/05/02	Wed	00:00	4.75	
2018/05/02	Wed	00:15	5.72	
2018/05/02	Wed	00:30	6.76	
2018/05/02	Wed	00:45	7.86	
2018/05/02	Wed	01:00	8.98	
2018/05/02	Wed	01:15	10.13	
2018/05/02	Wed	01:30	11.28	
