Project,Round,Site,Seine#,Side,Latitude,Longitude,Date,Time,Tide1,Tide2,Reach,NetDepth_m,Temperature_C,Salinity_psu,DO_mgl,DO_percent,Turbidity_fnu,pH,TSS_mg,Smpler's Initials,Notes
FHP,1,Barabara,1,B,59.48787,-151.6507,6/13/18,10:45,Flood,Low,10m rope,,7.556,23.18,12.44,120.6,0.32,8.24,,JM CG AL MH AB JS SB,"TSS here.  Environmentals from Chugachee @ 10:05 am (Also took deep measures: T 8.75, sal 30.8, DOmg/l 12.36, %DO 117.5, turb 0.18, pH 8.11, TSS sample)."
FHP,1,Barabara,2,A,59.48563,-151.65707,6/13/18,11:00,Flood,Low,10m rope,,8.44,31.14,11.69,122.1,0.29,8.22,,JM CG AL MH AB JS SB,"TSS here.  Environmentals from Chugachee (Also took deep measures: T 8.19, sal 31.10, DOmg/l 11.96, %DO 124.1, turb 0.17, pH 8.20, TSS sample)."
FHP,1,Barabara,3,A,59.48164,-151.6561,6/13/18,11:30,Flood,Mid,10m rope,,,,,,,,,JM CG AL MH AB JS SB,
FHP,1,Barabara,4,A,59.48164,-151.6561,6/13/18,11:45,Flood,Mid,10m rope,,,,,,,,,JM CG AL MH AB JS SB,
FHP,1,Barabara,5,B,59.48476,-151.64226,6/13/18,13:45,Flood,High,10m rope,,8.99,31.19,11.37,119,0.55,8.21,,JM CG AL MH AB JS SB,Environmentals taken from Chugachee.
FHP,1,Barabara,6,B,59.48476,-151.64226,6/13/18,14:20,Flood,High,10m rope,,8.99,31.19,11.37,119,0.55,8.21,,JM CG AL MH AB JS SB,TSS here.  Same environmentals as seine# 5. Environmentals taken from Chugachee.
FHP,1,Barabara,7,A,59.4822,-151.65456,6/13/18,14:45,Flood,High,10m rope,,8.83,31.59,9.33,98.5,1.26,8.2,,JM CG AL MH AB JS SB,Environmentals taken from Chugachee.
FHP,1,Tutka,1,A,59.41777,-151.31065,6/14/18,9:45,Slack,Low,5m rope,,11.304,22.59,12.17,128.1,3.23,8.24,,AL AB MH CW KS,"Environmentals taken from Edgecumbe at 9:05: 3m vert zoop tow, TSS"
FHP,1,Tutka,2,B,59.42102,-151.30568,6/14/18,10:40,Flood,Low,8m rope,,9.923,26.42,10.67,111.9,1.35,8.11,,AL AB MH CW KS CG,"Environmentals taken from Edgecumbe at 9:45: 4m vert zoop tow, TSS"
FHP,1,Tutka,3,B,59.41577,-151.29103,6/14/18,14:28,Flood,High,7m rope,,12.452,20.85,12.08,129.1,0.34,8.5,,AL AB MH CW KS CG,"Seagrass.  Environmentals taken from Edgecumbe at 16:45 (N59 25.024', W151 17.818') "
FHP,1,Tutka,4,A,59.41039,-151.29868,6/14/18,15:35,Flood,High,10m rope,,12.512,21.55,12.56,135.7,0.43,8.49,,AL AB MH CW KS CG,"Environmentals taken from Edgecumbe at 16:00 (N59 24.658', W151 17.901') "
FHP,1,Anchor,1,A,59.79406,-151.8549,6/21/18,10:30,Slack,High,5m rope,,,,,,,,,AL AB JA CG SB KG MH,Environmtnals taken from Seine# 2
FHP,1,Anchor,2,A,59.7883,-151.85847,6/21/18,11:00,Ebb,High,10m rope,,10.329,29.13,9.99,107.4,5.69,8.18,,KG AB JA CG SB AL MH,Environmentals taken at 11:30
FHP,1,Anchor,3,A,59.79264,-151.84727,6/21/18,12:12,Ebb,High,15m rope,,,,,,,,,AB KG JA CG SB AL MH,Environmtnals taken from Seine# 2
FHP,1,Anchor,4,A,59.79258,-151.85896,6/21/18,14:40,Ebb,Low,15m rope,,10.387,29.17,10.31,111.1,1.25,8.24,,AB KG JA CG SB AL MH,Environmentals taken after fish processing
CMI,1,Halibut Cove,1,,59.59332,-151.17509,6/25/18,7:52,Slack,Low,10m rope,1.5,10.182,25.04,10.17,106.3,5.03,,,AL CG JM SB JA AB,
CMI,1,Halibut Cove,2,,59.59339,-151.17148,6/25/18,8:40,Flood,Low,10m rope,1.5,9.86,20.76,10.44,105.8,8.91,,,AL CG JM SB JA AB,TSS here.
CMI,1,Halibut Cove,3,,59.59299,-151.17035,6/25/18,9:30,Flood,Low,10m rope,1.25,10.843,21.41,10.26,106.3,6.78,,,SB CG JM JA AB AL,Sculpin eating pricklebacks in the buckets.
XTR,1,Otter Rock,1,,59.57492,-151.2941,6/26/18,8:57,Flood,Low,0m rope,1.2,10.179,26.88,10.59,111.9,0.86,,,KG CG SB JA KS,"Two coho, five chum for Kim."
XTR,1,Otter Rock,2,,59.574855,-151.29427,6/26/18,9:53,Flood,Low,0m rope,1.25,10.179,26.88,10.59,111.9,0.86,,,KG CG SB JA KS,"Same environmentals as seine 1.  Three Coho, three dolly varden, one Chum, + five saffron cod for Kim"
CMI,1,Barabara,1,,59.48172,-151.65875,6/27/18,9:02,Slack,Low,15m rope,1.5,8.213,30.88,10.06,104.3,0.5,8.07,,AB SB JA AL CG,TSS here. Shrimp 40-50 mm.
CMI,1,Barabara,2,,59.48129,-151.65895,6/27/18,9:45,Flood,Low,15m rope,1,,,,,,,,SB JA CG AB AL,Same environmentals as seine 1.  Shrimp 56 mm.
CMI,1,Barabara,3,,59.48064,-151.65932,6/27/18,10:16,Flood,Low,15m rope,1,,,,,,,,SB JA CG AB AL,Same environmentals as seine 1. 
CMI,1,Glacier Spit,1,,59.65361,-151.19257,6/28/18,9:15,Slack,Low,10m rope,1.5,9.958,24.86,10.4,107,4.5,8.19,,DN JA SB MH CG KG,
CMI,1,Glacier Spit,2,,59.65416,-151.19243,6/28/18,9:40,Slack,Low,10m rope,3,10.085,23.31,10.63,109.5,4.8,8.24,,MH CG KG SB JA DN,
CMI,1,Glacier Spit,3,,59.65445,-151.19214,6/28/18,10:00,Flood,Low,17m rope,Max,10.088,24.39,10.71,110.9,3.5,8.23,,CG JA KG SB MH DN,TSS here. Started at river channel then swung W to beach.
CMI,1,Tutka,1,,59.42101,-151.30559,6/29/18,9:53,Slack,Low,10m rope,1.8,7.102,24.52,11.39,110.4,5.11,7.85,,AL SB JM CG JA,TSS here.
CMI,1,Tutka,2,,59.42051,-151.30544,6/29/18,10:40,Flood,Low,15m rope,1.5,,,,,,,,CG AL SB JA JM,EXO1 not working - use seine 1 environmentals. Gnats. Jellies.
CMI,1,Tutka,3,,59.42145,-151.30513,6/29/18,11:30,Flood,Low,15m rope,Max,,,,,,,,CG AL SB JA JM,EXO1 not working - use seine 1 environmentals. 
CMI,1,Seldovia Harbor,1,,59.43542,-151.71591,6/30/18,10:34,Slack,Low,5m rope,1.2,9.93,28.5,12.18,129.3,0.76,8.28,,KS MS JA CG AL AB MH,One greenling voucher - to be ID'ed.  Used adipose to ID Co from CK
