Common,Scientific,Family,Group,Behavior,LengthType,atMaturity
Pacific Cod,Gadus macrocephalus,Gadidae,Cod,Schooling,FL,587
Saffron Cod,Eleginus gracilis,Gadidae,Cod,Schooling,FL,316
Pacific Tomcod,Microgadus proximus,Gadidae,Cod,Schooling,FL,188
Unidentified Gadid,Gadidae,Gadidae,Cod,Schooling,FL,
Walleye Pollock,Gadus chalcogrammus,Gadidae,Cod,Schooling,FL,290
Alaska Plaice,Pleuronectes quadrituberculatus,Pleuronectidae,Flatfish,Demersal,TL,315
English Sole,Parophrys vetulus,Pleuronectidae,Flatfish,Demersal,TL,238
Unidentified Flatfish (Juvenile),Pleuronectidae,Pleuronectidae,Flatfish,Demersal,TL,
Rock Sole,Lepidopsetta spp.,Pleuronectidae,Flatfish,Demersal,TL,305
Sand Sole,Psettichthys melanostictus,Pleuronectidae,Flatfish,Demersal,TL,356
Starry Flounder,Platichthys stellatus,Pleuronectidae,Flatfish,Demersal,TL,493
Unidentified Flatfish,Pleuronectidae,Pleuronectidae,Flatfish,Demersal,TL,
Capelin,Mallotus villosus,Osmeridae,Smelt,Schooling,FL,106
Eulachon,Thaleichthys pacificus,Osmeridae,Smelt,Schooling,FL,119
Pacific Herring,Clupea pallasii,Clupeidae,Herring,Schooling,FL,222
Longfin Smelt,Spirinchus thaleichthys,Osmeridae,Smelt,Schooling,FL,118
Pacific Sand Lance,Ammodytes hexapterus,Ammodytidae,Sand lance,Schooling,TL,125
Sandfish,Trichodon trichodon,Trichodontidae,Sandfish,Dwelling,FL,188
Surf Smelt,Hypomesus pretiosus,Osmeridae,Smelt,Schooling,FL,135
Kelp Greenling,Hexagrammos decagrammus,Hexagrammodae,Greenling,Dwelling,FL,346
Lingcod,Ophiodon elongatus,Hexagrammodae,Greenling,Dwelling,FL,457
Masked Greenling,Hexagrammos octogrammus,Hexagrammodae,Greenling,Dwelling,FL,249
Rock Greenling,Hexagrammos lagocephalus,Hexagrammodae,Greenling,Dwelling,FL,346
Unidentified Greenling,Hexagrammodae,Hexagrammodae,Greenling,Dwelling,FL,
White Spotted Greenling,Hexagrammos stelleri,Hexagrammodae,Greenling,Dwelling,FL,280
Crescent Gunnel,Pholis laeta,Pholidae,Gunnel,Dwelling,TL,257
Penpoint Gunnel,Apodichthys flavidus,Pholidae,Gunnel,Dwelling,TL,270
Larval Fish,,Larval,Larval,Other,TL,
Sturgeon Poacher,Podothecus accipenserinus,Agonidae,Poacher,Dwelling,TL,188
Tubenose Poacher,Pallasina barbata,Agonidae,Poacher,Dwelling,TL,94
Slender Eelblenny,Lumpenus fabricii,Stichaeidae,Prickleback,Dwelling,TL,217
Snake Prickleback,Lumpenus sagitta,Stichaeidae,Prickleback,Dwelling,TL,295
